Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
273,Seedot,G,1,,,2/99,nextdestinies,Kagemaru Himeno,,,
401,Kricketot,G,1,,,3/99,nextdestinies,MAHOU,,,
58,Growlithe,F,1,,,11/99,nextdestinies,Mizue,,,
554,Darumaka,F,1,,,17/99,nextdestinies,Atsuko Nishida,,,
120,Staryu,W,1,,,23/99,nextdestinies,Naoyo Kimura,,,
131,Lapras,W,3,,,25/99,nextdestinies,Kouki Saitou,,,
515,Panpour,W,1,,,28/99,nextdestinies,Reiko Tanoue,,,
550,Basculin,W,2,,,30/99,nextdestinies,Kagemaru Himeno,,,
584,Vanilluxe,W,3,,,33/99,nextdestinies,Akira Komayama,,,
613,Cubchoo,W,1,,,36/99,nextdestinies,Atsuko Nishida,,,
25,Pikachu,El,1,,,39/99,nextdestinies,Akira Komayama,,,
403,Shinx,El,1,,,42/99,nextdestinies,Atsuko Nishida,,,
403,Shinx,El,1,,,43/99,nextdestinies,Naoki Saito,,,
404,Luxio,El,2,,,44/99,nextdestinies,Kouki Saitou,,,
404,Luxio,El,2,Reverse,,45/99,nextdestinies,Naoki Saito,,,
88,Grimer,P,1,Reverse,,52/99,nextdestinies,Kagemaru Himeno,,,
150,Mewtwo,P,3,,Full Art / World Championships 2012,54/99,nextdestinies,Shizurow,Used,,8/20/2019
518,Musharna,P,3,,,59/99,nextdestinies,Maiko Fujiwara,,,
447,Riolu,Fg,1,,,63/99,nextdestinies,Sumiyoshi Kizuki,,,
450,Hippowdon,Fg,2,,,66/99,nextdestinies,Naoki Saito,,,
215,Sneasel,D,1,,,69/99,nextdestinies,Masakazu Fukuda,,,
275,Shiftry,D,3,,,72/99,nextdestinies,match,,,
559,Scraggy,D,1,,,73/99,nextdestinies,Mizue,,,
436,Bronzor,Sl,1,,,75/99,nextdestinies,Naoki Saito,,,
597,Ferroseed,Sl,1,Reverse,,77/99,nextdestinies,match,,,
519,Pidove,N,1,Reverse,,83/99,nextdestinies,MAHOU,,,
T,Cilan,Su,2,,,86/99,nextdestinies,Yusuke Ohmura,,,
T,Exp. Share,I,2,,,87/99,nextdestinies,Ryo Ueda,,,
T,Pokemon Center,S,2,Full,,90/99,nextdestinies,5ban Graphics,,,
T,Skyarrow Bridge,S,2,,,91/99,nextdestinies,Ryo Ueda,,,
254,Sceptile,G,3,Art,,4/17,P1,Hiromichi Sugiyama,Bent,,
370,Luvdisc,W,1,,,14/17,P2,Atsuko Nishida,,,
485,Heatran,F,3,,,1/17,P8,Ken Sugimori,,,
387,Turtwig,G,1,,,17/17,P9,Midori Harada,,,
127,Pinsir,G,3,,,24/92,legendmaker,Mitsuhiro Arita,,,
327,Spinda,N,3,,,26/92,legendmaker,Motofumi Fujiwara,,,
347,Anorith,Fg,2,,,29/92,legendmaker,Atsuko Nishida,,,
70,Weepinbell,G,2,,,47/92,legendmaker,Katsura Tabata,,,
69,Bellsprout,G,1,,,49/92,legendmaker,Midori Harada,,,
92,Gastly,P,1,,,52/92,legendmaker,Hajime Kusajima,,,7/20/2019
74,Geodude,Fg,1,,,53/92,legendmaker,Miki Tanaka,,,
345,Lileep,G,1,,,56/92,legendmaker,Atsuko Nishida,,,
240,Magby,F,1,,,58/92,legendmaker,Yuka Morii,Used,,8/20/2019
353,Shuppet,P,1,,,63/92,legendmaker,Mitsuhiro Arita,,,7/20/2019
