Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
182,Bellossom,G,2,Art,,4/98,,Mizue,,,,100616
416,Vespiquen,G,2,,,10/98,,kawayoo,,,6/15/2019,XXXXXX
129,Magikarp,W,1,,,19/98,,Akira Komayama,,,5/12/2019,101440
130,Gyarados,W,3,,,20/98,,Shin Nagasawa,,,5/12/2019,101441
201,Unown,P,1,,,30/98,,Akira Komayama,,,6/15/2019,XXXXXX
343,Baltoy,P,1,,Full Art,32/98,,Ayaka Yoshida,,,5/12/2019,101453
344,Claydol,P,3,,,33/98,,Satoshi Shirai,,,6/25/2019,XXXXXX
622,Golett,P,1,,,34/98,,Sanosuke Sakuma,,,5/12/2019,101457
194,Wooper,Fg,1,,,38/98,,Sumiyoshi Kizuki,,,5/12/2019,101460
302,Sableye,D,2,,,44/98,,Hitoshi Ariga,,,5/12/2019,101464
687,Malamar,D,1,,,46/98,,Masakazu Fukuda,,,6/15/2019,XXXXXX
280,Ralts,Fa,1,,,52/98,,Aya Kusube,,,5/12/2019,101474
281,Kirlia,Fa,2,,,53/98,,match,,,5/18/2019,101475
282,Gardevoir,Fa,3,Reverse,,54/98,,TOKIYA,,,5/18/2019,101476
705,Sliggoo,Dr,2,,,59/98,,Midori Harada,,,5/12/2019,101481
53,Persian,N,1,Full,,62/98,,Mitsuhiro Arita,,,6/15/2019,XXXXXX
T,Level Ball,I,2,Full,,76/98,,Toyste Beach,,,5/12/2019,101498
T,Lucky Helmet,I,2,,,77/98,,Toyste Beach,,,6/15/2019,XXXXXX
