Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
142,Aerodactyl,Fg,3,Reverse,,13/99,,Masokazu Fukuda,,,
5,Charmeleon,F,2,,,25/99,,Sumiyoshi Kizuki,,,
78,Rapidash,F,3,,,28/99,,Lee HyunJung,,,
93,Haunter,P,2,,,41/99,,Tomokazu Komiya,,,
404,Luxio,El,2,,,43/99,,Suwama Chiaki,,,
413,Wormadam,Fg,2,,,50/99,,Atsuko Nishida,,,
371,Bagon,N,1,,,52/99,,Naoyo Kimura,,,
412,Burmy (Sandy),G,1,Reverse,,57/99,,Tomokazu Komiya,,,
412,Burmy (Trash),G,1,,,58/99,,Yukiko Baba,,,
420,Cherubi,G,1,,,60/99,,Yuka Morii,,,
453,Croagunk,Fg,1,,,61/99,,Tomokazu Komiya,,,
309,Electrike,El,1,,,62/99,,Yukiko Baba,,,
296,Makuhita,Fg,1,,,68/99,,sui,,,
19,Rattata,N,1,,,73/99,,Miki Tanaka,,,
361,Snorunt,W,1,,,75/99,,Yuka Morii,,,
278,Wingull,W,1,,,80/99,,Kyoko Umemoto,,,
T,Bench Shield,T,2,,,83/99,,Wataru Kawahara,,,
T,Old Amber,T,2,,,89/99,,Ryo Ueda,,,
