Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
143,Snorlax,,3,,,30/130,,Ken Sugimori,,
71,Victreebel,,3,,,32/130,,Ken Sugimori,,
147,Dratini,,2,,,38/130,,Ken Sugimori,,
83,Farfetch'd,,2,,,40/130,,Ken Sugimori,,
124,Jynx,,2,,,45/130,,Ken Sugimori,,
10,Caterpie,,1,,,54/102,,Ken Sugimori,,
8,Wartortle,,2,,,63/130,,Ken Sugimori,,
102,Exeggcute,,1,,,74/130,,Mitsuhiro Arita,,
46,Paras,,1,,,85/130,,Ken Sugimori,,
121,Starmie,,1,,,94/130,,Keiji Kinebuchi,,
48,Venonant,,1,,,97/130,,Mitsuhiro Arita,,
37,Vulpix,,1,,,99/130,,Ken Sugimori,,
13,Weedle,,1,,,100/130,,Mitsuhiro Arita,,
T,Lass,T,3,,,104/130,,Ken Sugimori,,
T,Grass Energy,E,,,,127/130,,Keiji Kinebuchi,,
T,Pyschic Energy,E,,,,129/130,,Keiji Kinebuchi,,
