Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
43,Oddish,G,1,Reverse,,1/149,,Kanako Eo,,,
182,Bellossom,G,3,,,4/149,,Mizue,,,
114,Tangela,G,1,,,5/149,,MAHOU,,,
123,Scyther,G,1,,,7/149,,kawayoo,,,
323,Camerupt,F,3,,,22/149,,Akira Komayama,,,
554,Darumaka,F,1,,,27/149,,Aya Kusube,,,
9,Blastoise,W,3,,,31/149,,Satoshi Shirai,,,
55,Golduck,W,3,,,35/149,,Kagemaru Himeno,,,
225,Delibird,W,2,,,38/149,,Sumiyoshi Kizuki,,,
581,Swanna,W,2,,,43/149,,Suwama Chiaki,,,
25,Pikachu,El,1,,,50/149,,Ken Sugimori,,,
100,Voltorb,El,1,,,51/149,,Ken Sugimori,,,
125,Electabuzz,El,1,Reverse,,53/149,,Shigenori Negishi,,,
543,Venipede,P,1,,,72/149,,Shigenori Negishi,,,
207,Gligar,Fg,1,,,80/149,,Atsuko Nishida,,,
83,Farfetch'd,N,2,,,107/149,,Ken Sugimori,,,
276,Tailow,N,1,,,112/149,,Ken Sugimori,,,
519,Pidove,N,1,,,123/149,,Tomakazu Komiya,,,
T,Rocky Helmet,I,2,,,133/149,,Ryo Ueda,,,
T,Skyla,Su,2,,,134/149,,Yusuke Ohmura,,,
