Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
152,Chikorita,G,1,,,1/122,,Akira Komayama,,,
401,Kircketot,G,1,,,5/122,,Sumiyoshi Kizuki,,,
79,Slowpoke,W,1,,,19/122,,Akira Komayama,,,
199,Slowking,W,3,Art,,21/122,,Aya Kusube,,,
90,Shellder,W,1,,,22/122,,Mizue,,,
405,Luxray,El,3,,,46/122,,Masakazu Fukuda,,,
405,Luxray BREAK,El,5,Full,Full Art,47/122,,5ban Graphics,,,
522,Blitzle,El,1,Reverse,,48/122,,Aya Kusube,,,
96,Drowzee,P,1,,,50/122,,Shigenari Negishi,,,
274,Nuzleaf,D,2,,,72/122,,Yuka Morii,,,
35,Clefairy,Fa,1,,,81/122,,Tomokazu Komiya,,,
19,Rattata,N,1,,,87/122,,match,,,
T,Delinquent,Su,2,,,98/122,,Yusuke Ohmura,,,
T,Reverse Valley,S,2,,Full Art,110/122,,5ban Graphics,,,
