Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
653,Fennekin,F,1,,,25/162,,Kanako Eo,,,,107144
27,Sandshrew,Fg,1,,,75/162,,Shigenori Negishi,,,,107194
220,Swinub,Fg,1,,,80/162,,Atsuko Nishida,,,,107199
221,Piloswine,Fg,2,,,81/162,,MAHOU,,,,107200
674,Pancham,Fg,1,,,86/162,,Mizue,,,,107205
571,Zoroark,D,3,Reverse,,91/162,,kawayoo,,,5/12/2019,107210
209,Snubbull,Fa,1,Reverse,,98/162,,Yuka Morii,,,,107217
210,Granbull,Fa,2,,,99/162,,Naoki Saito,,,,107218
52,Meowth,N,1,,,114/162,,kirisAki,,,,107233
235,Smeargle,N,3,,,123/162,,Yukiko Baba,,,,107242
T,Assault Vest,I,2,,,133/162,,Toyste Beach,,,,107252
