Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
237,Hitmontop,Fg,3,Art,,8/95,,Shigenori Negishi,,,
237,Hitmontop,Fg,3,Reverse,,8/95,,Shigenori Negishi,,,
173,Cleffa,N,3,,,24/95,,sui,,,
210,Granbull,N,3,,,26/95,,Mizue,,,
199,Slowking,Fa,3,,,32/95,,Sumiyoshi Kizuki,,,
143,Snorlax,N,3,,,33/95,,Kent Kanetsuna,,,
465,Tangrowth,G,3,,,34/95,,Hideaki Hakozaki,,,
217,Ursaring,N,3,,,37/95,,Kouki Saito,,,
153,Bayleef,G,2,,,40/95,,Shin Nagasawa,,,
159,Croconaw,W,2,Reverse,,41/95,,kawayoo,,,
232,Donphan,Fg,2,,,42/95,,Midori Harada,,,
180,Flaafy,El,2,,,43/95,,Masakazu Fukuda,,,
136,Flareon,F,2,,,44/95,,kawayoo,,,
135,Jolteon,El,2,,,45/95,,Shin Nagasawa,,,
240,Magby,F,2,,,46/95,,Akira Komayama,,,
35,Clefairy,N,1,,,54/95,,sui,,,
106,Hitmonlee,Fg,1,,,58/95,,Kouki Saitou,,,
228,Houndour,D,1,Reverse,,59/95,,Kagemaru Himeno,,,
109,Koffing,P,1,,,60/95,,Hajime Kusajima,,,
129,Magikarp,W,1,,,61/95,,Mitsuhiro Arita,,,
303,Mawile,Sl,1,,,64/95,,TOKIYA,,,
231,Phanpy,Fg,1,,,66/95,,Ken Sugimori,,,
16,Pidgey,N,1,,,67/95,,Suwama Chiaki,,,
204,Pineco,G,1,,,68/95,,Kyoko Umemoto,,,
369,Relicanth,W,1,,,69/95,,Wataru Kawahara,,,
79,Slowpoke,W,1,Reverse,,70/95,,Sumiyoshi Kizuki,,,
209,Snubbull,N,1,,,71/95,,Mizue,,,
114,Tangela,G,1,,,72/95,,Hideaki Hakozaki,,,
158,Totodile,W,1,,,74/95,,Ken Sugimori,,,
37,Vulpix,F,1,,,75/95,,TOKIYA,,,
T,Interviewer's Questions,Su,2,,,79/95,,Kouki Saitou,,,
T,Research Record,T,2,Full,,84/95,,Hideaki Hakozaki,,,
