Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
70,Weepinbell,G,2,,,2/168,,Miki Tanaka,,,
123,Scyther,G,2,Reverse,,4/168,,Hajime Kusajima,,,
252,Treeko,G,1,,,8/168,,tetsuya koizumi,,,
254,Sceptile,G,3,Full,,10/168,,Mitsuhiro Arita,,,
273,Seedot,G,1,,,12/168,,Misa Tsutsui,,,
283,Surskit,G,1,,,15/168,,Ken Sugimori,,,
284,Masquerain,G,2,Reverse,,16/168,,Yukiko Baba,,,
331,Cacnea,G,1,,,19/168,,Atsuko Nishida,,,
218,Slugma,F,1,,,23/168,,Midori Harada,,,
219,Magcargo,F,3,,,24/168,,Midori Harada,,,
255,Torchic,F,1,,,26/168,,MAHOU,,,
258,Mudkip,W,1,,,32/168,,Shigenori Negishi,,,
258,Mudkip,W,1,,,33/168,,Misa Tsutsui,,,
259,Marshtomp,W,2,,,34/168,,Ken Sugimori,,,
320,Wailmer,W,1,,,39/168,,Kagemaru Himeno,,,
310,Manectric,El,3,,,52/168,,Sanosuke Sakuma,,,
316,Gulpin,P,1,Reverse,,57/168,,Yuka Morii,,,
325,Spoink,P,1,,,59/168,,MAHOU,,,
353,Shuppet,P,1,,,63/168,,Mitsuhiro Arita,,,
353,Shuppet,P,1,,,64/168,,Eri Yamaki,,,
354,Banette,P,3,,,65/168,,Eri Yamaki,,,
343,Baltoy,Fg,1,,,78/168,,Ken Sugimori,,,
344,Claydol,Fg,3,,,79/168,,Yumi,,,
774,Minior,Fg,2,,,83/146,,sui,,,
215,Sneasel,D,1,,,86/168,,Ken Sugimori,,,
302,Sableye,D,2,,,88/168,,Yukiko Baba,,,
374,Beldum,Sl,1,,,92/168,,Naoyo Kimura,,,
374,Beldum,Sl,1,,,93/168,,Hasuno,,,
379,Registeel,Sl,3,,,96/168,,Shin Nagasawa,,,
206,Dunsparce,N,2,,,110/168,,Mitsuhiro Arita,,,
278,Wingull,N,1,,,111/168,,Ken Sugimori,,,
T,Bill's Maintenance,Su,2,,,126/168,,Ken Sugimori,,,
T,Copycat,Su,2,,,127/168,,Ken Sugimori,,,
T,Energy Recycle System,I,2,,,128/168,,Zu-Ka,,,
T,Friend Ball,I,2,,,131/168,,Katsura Tabata,,,
T,Hau,Su,2,,,132/168,,TOKIYA,,,
T,The Masked Royal,Su,2,,,139/168,,Ken Sugimori,,,
T,Super Scoop Up,I,2,,,146/168,,Keiji Kinebuchi,,,
T,Switch,I,2,,,147/168,,Hiromichi Sugiyama,,,
T,Tate & Liza,Su,2,,,148/168,,Megumi Mizutani,,,
T,TV Reporter,Su,2,,,149/168,,Ken Sugimori,,,
