Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
14,Kakuna,G,2,,,2/111,,Miki Kudo,,,
15,Beedrill,G,3,,,3/111,,kirisAki,,,
102,Exeggcute,G,1,,,4/111,,Kouki Saitou,,,
331,Cacnea,G,1,,,5/111,,Anesaki Dynamic,,,
332,Cacturne,G,3,,,6/111,,Mina Nokai,,,
588,Karrablast,G,1,,,7/111,,OOYAMA,,,
626,Shelmet,G,1,,,8/111,,OOYAMA,,,
617,Accelgor,G,2,,,9/111,,tetsuya koizumi,,,
672,Skiddo,G,1,Reverse,,10/111,,Naoki Saito,,,
120,Staryu,W,1,,,15/111,,Yukiko Baba,,,
220,Swinub,W,1,,,16/111,,Eri Yamaki,,,
129,Magikarp,W,1,,,17/111,,TOKIYA,,,
221,Piloswine,W,2,,,20/111,,Kouki Saitou,,,
341,Corphish,W,1,,,24/111,,Masakazu Fukuda,,,
349,Feebas,W,1,,,26/111,,Hitoshi Ariga,,,
422,Shellos,W,1,,,29/111,,Kouki Saitou,,,
25,Pikachu,El,1,,,30/111,,Shibuzoh.,,,
74,Alolan Geodude,El,1,Full,,32/111,,Mitsuhiro Arita,,,
75,Alolan Graveler,El,2,,,33/111,,kirisAki,,,
92,Gastly,P,1,,,36/111,,Shibuzoh.,,,
93,Haunter,P,2,,,37/111,,Eri Yamaki,,,
326,Grumpig,P,2,,,42/111,,Saya Tsuruta,,,
358,Chimecho,P,1,,,43/111,,Kanako Eo,,,
710,Pumpkaboo,P,1,,,44/111,,Miki Tanaka,,,
757,Salandit,P,1,,,46/111,,tetsuya koizumi,,,
56,Mankey,Fg,1,,,50/111,,Miki Tanaka,,,
104,Cubone,Fg,1,Full,,52/111,,sui,,,
760,Bewear,Fg,3,Reverse,,56/111,,Saya Tsuruta,,,
228,Houndour,D,1,,,58/111,,Kouki Saitou,,,
633,Deino,D,1,,,60/111,,miki kudo,,,
634,Zweilous,D,2,,,61/111,,kodama,,,
305,Lairon,Sl,2,Full,,66/111,,Atsuko Nishida,,,
782,Jangmo-o,Dr,1,,,75/111,,Atsuko Nishida,,,
783,Hakamo-o,Dr,2,,,76/111,,Masokazu Fukuda,,,
333,Swablu,N,1,Full,,79/111,,Mitsuhiro Arita,,,
334,Altaria,N,3,,,80/111,,sui,,,
396,Starly,N,1,,,81/111,,miki kudo,,,
397,Staravia,N,2,,,82/111,,kawayoo,,,
572,Minccino,N,1,,,85/111,,kodama,,,
573,Cinccino,N,2,,,86/111,,0313,,,
659,Bunnelby,N,1,,,87/111,,kirisAki,,,
T,Counter Catcher,I,2,,,91/111,,Toyste Beach,,,
T,Dashing Pouch,I,2,,,92/111,,Eske Yoshinob,,,
T,Devoured Field,S,2,,,93/111,,5ban Graphics,,,
T,Peeking Red Card,I,2,,,97/111,,Toyste Beach,,,
