Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
169,Crobat,,3,Art,Delta Species,2/113,,Ryo Ueda,,
373,Salamence,,3,Art,Delta Species,14/113,,Ryo Ueda,,
233,Porygon2,,3,,,25/113,,Hisao Nakamura,,
277,Swellow,,3,,,32/113,,Atsuko Nishida,,
78,Rapidash,,2,,,52/113,,Atsuko Nishida,,
371,Bagon,,1,,Delta Species,57/113,,Masokazu Fukuda,,
52,Meowth,,1,,,77/113,,Hiroki Fuchino,,
77,Ponyta,,1,,,78/113,,Naoyo Kimura,,
137,Porygon,,1,,,80/113,,Hisao Nakamura,,
276,Tailow,,1,,,86/113,,Tomokazu Komiya,,
T,Dual Ball,T,2,,,89/113,,"""Big Mama"" Tagawa",,
T,Holon Lass,Su,2,,,92/113,,Kouki Saitou,,
T,Holon Researcher,Su,2,,,95/113,,Kanako Eo,,
T,Master Ball,T,2,,,99/113,,Keiji Kinebuchi,,
T,Potion,T,1,,,101/113,,Shin-ichi Yoshikawa,,
T,Switch,T,1,,,102/113,,Hiromichi Sugiyama,,
T,Metal Energy,E,3,,,107/113,,Milky Isobe,,
