Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
267,Beautifly,G,3,,,19/130,,Atsuko Nishida,,,
269,Dustox,G,3,,,25/130,,Kouki Saitou,Yes,,
266,Silcoon,G,2,,,63/130,,Ken Sugimori,,,
201,Unown A,P,2,,,65/130,,Nakaoka,,,
201,Unown D,P,2,,,68/130,,Nakaoka,,,
418,Buizel,W,1,,,72/130,,Ken Sugimori,,,
390,Chimchar,F,1,Reverse,,76/130,,Ken Sugimori,,,
415,Combee,G,1,,,79/130,,Ken Sugimori,,,
92,Gastly,P,1,,,82/130,,Kouki Saitou,,,
81,Magnemite,Sl,1,,,87/130,,Kouki Saitou,,,
315,Roselia,G,1,,,96/130,,Ken Sugimori,,,
265,Wurmple,G,1,,,104/130,,Ken Sugimori,,,
389,Torterra EX,G,3,,,120/130,,Shizurow,,,
T,Grass Energy,E,1,,,123/130,,,,,
T,Water Energy,E,1,,,125/130,,,,,
