Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
511,Pansage,G,1,,,1/98,,Kouki Saitou,,
540,Sewaddle,G,1,,,3/98,,Kagemaru Himeno,,
541,Swadloon,G,2,,,5/98,,Naoki Saito,,
541,Swadloon,G,2,,,6/98,,MAHOU,,
542,Leavanny,G,3,Reverse,,7/98,,Kouki Saitou,,
546,Cottonee,G,1,,,10/98,,Kagemaru Himeno,,
547,Whimsicott,G,3,Reverse,,12/98,,Mizue,,
549,Lilligant,G,2,,,14/98,,Shin Nagasawa,,
513,Pansear,F,1,,,18/98,,Masakazu Fukuda,,
554,Darumaka,F,1,,,20/98,,Mitsuhiro Arita,,
555,Darmanitan,F,3,,,21/98,,Mitsuhiro Arita,,
515,Panpour,W,1,,,22/98,,Kagemaru Himeno,,
550,Basculin,W,1,,,24/98,,match,,
550,Basculin,W,2,,,25/98,,Akira Komayama,,
580,Ducklett,W,1,,,26/98,,MAHOU,,
581,Swanna,W,3,,,27/98,,Atsuko Nishida,,
613,Cubchoo,W,1,,,28/98,,sui,,
613,Cubchoo,W,1,Reverse,,29/98,,Kanaka Eo,,
614,Beartic,W,3,,,31/98,,Kagemaru Himeno,,
595,Joltik,El,1,,,33/98,,Kagemaru Himeno,,
527,Woobat,P,1,,,36/98,,Masakazu Fukuda,,
543,Venipede,P,1,,,39/98,,Kouki Saitou,,
561,Sigilyph,P,2,,,41/98,,Midori Harada,,
574,Gothita,P,1,,,43/98,,MAHOU,,
574,Gothita,P,1,,,44/98,,sui,,
575,Gothorita,P,2,,,46/98,,Naoki Saito,,
576,Gothitelle,P,3,,,47/98,,Kagemaru Himeno,,
524,Roggenrola,Fg,1,,,49/98,,Kagemaru Himeno,,
524,Roggenrola,Fg,1,,,50/98,,Masakazu Fukuda,,
525,Boldore,Fg,2,Reverse,,51/98,,Kouki Saitou,,
525,Boldore,Fg,2,,,52/98,,Masakazu Fukuda,,
529,Drilbur,Fg,1,,,54/98,,match,,
529,Drilbur,Fg,1,,,55/98,,Midori Harada,,
539,Sawk,Fg,2,,,59/98,,Kouki Saitou,Yes,
551,Sandile,Fg,1,,,60/98,,Kagemaru Himeno,,
552,Krokorok,Fg,2,,,61/98,,Kagemaru Himeno,,
509,Purrloin,D,1,,,64/98,,Atsuko Nishida,,
510,Liepard,D,3,,,65/98,,Akira Komayama,,
570,Zorua,D,2,,,66/98,,Shin Nagasawa,,
629,Vullaby,D,1,,,68/98,,sui,,
597,Ferroseed,Sl,1,,,70/98,,Midori Harada,,
597,Ferroseed,Sl,1,,,71/98,,MAHOU,,
599,Klink,Sl,1,,,74/98,,Kouki Saitou,,
505,Watchog,N,2,,,79/98,,MAHOU,,
519,Pidove,N,1,,,80/98,,Naoki Saito,,
520,Tranquill,N,2,Reverse,,81/98,,Midori Harada,,
521,Unfezant,N,4,Reverse,,82/98,,kawayoo,,
531,Audino,N,2,,,83/98,,Kagemaru Himeno,,
573,Cinccino,N,2,,,85/98,,Mizue,,
627,Rufflet,N,1,,,87/98,,Naoyo Kimura,,
T,Bianca,Su,2,,,90/98,,Yusuke Ohmura,,
T,Cheren,Su,2,,,91/98,,Yusuke Ohmura,,
T,Crushing Hammer,I,2,,,92/98,,5ban Graphics,,
T,Great Ball,I,2,,,93/98,,5ban Graphics,,
T,Max Potion,I,2,,,94/98,,5ban Graphics,,
