Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
412,Burmy,G,1,,,2/124,,Kouki Saitou,,,
413,Wormadam,G,2,,,3/124,,kawayoo,,,
414,Mothim,G,3,,,4/124,,MAHOU,,,
495,Snivy,G,1,,,5/124,,Atsuko Nishida,,,
653,Fennekin,F,1,,,10/124,,Akira Komayama,,,
653,Fennekin,F,1,,,11/124,,kirisAki,,,
654,Braixen,F,2,,,12/124,,kirisAki,,,
86,Seel,W,1,,,15/124,,Hasuno,,,
688,Binacle,W,1,,,22/124,,Tomokazu Komiya,,,
688,Binacle (JPN),W,1,,,22/124,,Tomokazu Komiya,,,
110,Weezing,P,2,,,28/124,,Shin Nagasawa,,,
574,Gothita,P,1,,,32/124,,Kagemaru Himeno,,,
105,Marowak,Fg,3,,,37/124,,Shin Nagasawa,,,
413,Wormadam,Fg,2,Reverse,,44/124,,Hajime Kusajima,,,
447,Riolu,Fg,1,,,45/124,,You Iribi,,,
448,Lucario,Sl,3,Reverse,,63/124,,Hitoshi Ariga,,,5/12/2019
39,Jigglypuff,Fa,1,,,65/124,,Midori Harada,,,
209,Snubbull,Fa,1,,,68/124,,Aya Kusube,,,
546,Cottonee,Fa,1,,,70/124,,MAHOU,,,
547,Whimsicott,Fa,2,,,71/124,,sui,,,
293,Whismur,N,1,,,80/124,,Kouki Saitou,,,
572,Minccino,N,1,,,86/124,,kirisAki,,,
T,Fossil Excavation Kit,I,2,Full,,101/124,,Toyste Beach,,,
T,Old Amber Aerodactyl,I,2,,,106/124,,Toyste Beach,,,
T,Random Reciever,I,2,,,109/124,,Toyste Beach,,,
T,Scorched Earth,S,2,,,110/124,,Ryo Ueda,,,
