Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
10,Caterpie,G,1,,,1/106,,Sumiyoshi Kizuki,,,
11,Metapod,G,2,,,2/106,,Kawayoo,,,
12,Butterfree,G,3,,,3/106,,sui,,,
204,Pineco,G,1,,,4/106,,Suwama Chiaki,,,
273,Seedot,G,1,Reverse,,5/106,,Naoyo Kimura,,,
274,Nuzleaf,G,2,,,6/106,,Midori Harada,,,
275,Shiftry,G,3,Art,,7/106,,Kouki Saitou,,,
315,Roselia,G,1,Reverse,,8/106,,kirisAki,,,
407,Roserade,G,2,,,9/106,,Masakazu Fukuda,,,
556,Maractus,G,2,,,10/106,,match,,,
6,Mega Charizard EX,F,5,Full,Full Art,13/106,,5ban Graphics,,,
77,Ponyta,F,1,Reverse,,14/106,,Tomakazu Komiya,,,
78,Rapidash,F,2,Reverse,,15/106,,Akira Komayama,,,
324,Torkoal,F,2,Reverse,,16/106,,Akira Komayama,,,
662,Fletchinder,F,2,,,17/106,,5ban Graphics,,,
667,Litleo,F,1,Reverse,,18/106,,5ban Graphics,,,
667,Litleo,F,1,Reverse,,19/106,,5ban Graphics,,,
668,Pyroar,F,3,Reverse,,20/106,,5ban Graphics,,,
211,Qwilfish,W,3,,,21/106,,Kouki Saitou,,,
349,Feebas,W,1,,,22/106,,Shigenori Negishi,,,
350,Milotic,W,3,Reverse,,23/106,,Shin Nagasawa,,,
363,Spheal,W,1,,,24/106,,Kagemaru Himeno,,,
364,Sealeo,W,2,,,25/106,,Mitsuhiro Arita,,,
365,Walrein,W,3,,,26/106,,Naoki Saito,,,
370,Luvdisc,W,2,,,27/106,,Atsuko Nishida,,,
418,Buizel,W,1,,,28/106,,sui,,,
419,Floatzel,W,3,,,29/106,,Kanako Eo,,,
712,Bergmite,W,1,,,30/106,,5ban Graphics,,,
713,Avalugg,W,2,,,31/106,,5ban Graphics,,,
403,Shinx,El,1,,,32/106,,Sanosuke Sakuma,,,
404,Luxio,El,2,,,33/106,,Akira Komayama,,,
405,Luxray,El,3,,,34/106,,Hitoshi Ariga,,,
694,Helioptile,El,1,Reverse,,36/106,,5ban Graphics,,,
695,Heliolisk,El,3,,,37/106,,5ban Graphics,,,
355,Duskull,P,1,,,38/106,,match,,,
356,Dusclops,P,2,Reverse,,39/106,,MAHOU,,,
477,Dusknoir,P,3,,,40/106,,Suwama Chiaki,,,
677,Espurr,P,1,,,42/106,,5ban Graphics,,,
678,Meowstic,P,3,,,43/106,,5ban Graphics,,,
690,Skrelp,P,1,Reverse,,44/106,,5ban Graphics,,,
74,Geodude,Fg,1,,,45/106,,MAHOU,,,
75,Graveler,Fg,2,,,46/106,,Naoyo Kimura,,,
76,Golem,Fg,3,,,47/106,,Sumiyoshi Kizuki,,,
688,Binacle,Fg,1,Reverse,,48/106,,5ban Graphics,,,
689,Barbaracle,Fg,3,,,49/106,,5ban Graphics,,,
215,Sneasel,D,2,,,50/106,,Mizue,,,
215,Sneasel,D,1,Reverse,,51/106,,match,,,
461,Weavile,D,5,Reverse,,52/106,,Shigenori Negishi,,,
434,Stunky,D,1,Reverse,,53/106,,Kyoko Umemoto,,,
434,Stunky,D,1,,,54/106,,Masakazu Fukuda,,,
435,Skuntank,D,3,Reverse,,55/106,,kirisAki,,,
551,Sandile,D,1,,,56/106,,Masakazu Fukuda,,,
552,Krokorok,D,2,,,57/106,,Naoki Saito,,,
559,Scraggy,D,1,Reverse,,58/106,,Naoki Saito,,,
560,Scrafty,D,3,Reverse,,59/106,,Hitashi Ariga,,,
