Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
664,Scatterbug,G,1,,,6/131,,Ken Sugimori,,,
672,Skiddo,G,1,,,9/131,,Suwama Chiaki,,,
105,Alolan Marowak,F,3,,,12/131,,Suwama Chiaki,,,
654,Braixen,F,2,Full,,16/131,,Kagemaru Himeno,,,
656,Froakie,W,1,,,22/131,,Aya Kusube,,,
692,Clauncher,W,1,,,25/131,,Midori Harada,,,
751,Dewpider,W,1,,,32/131,,sui,,,
752,Araquanid,W,2,,,33/131,,kodama,,,
686,Inkay,P,1,,,50/131,,sowsow,,,
803,Poipole,P,2,,,55/131,,Megumi Mizutani,,,
104,Cubone,Fg,1,Reverse,,57/131,,sowsow,,,
453,Croagunk,Fg,1,,,63/131,,SATOSHI NAKAI,,,
688,Binacle,Fg,1,,,66/131,,Yuka Morii,,,
701,Hawlucha,Fg,2,,,70/131,,Naoki Saito,,,
669,Flabebe,Fa,1,,,84/131,,Ken Sugimori,,,
704,Goomy,Dr,1,Reverse,,92/131,,Ken Sugimori,,,
800,Ultra Necrozma GX,Dr,5,Full,Full Art,95/131,,PLANETA Otani,,,
660,Diggersby,N,2,,,98/131,,Mina Nokai,,,
714,Noibat,N,1,Reverse,,100/131,,Anesaki Dynamic,,,
T,Fossil Excavation Map,I,2,,,107/131,,Yoshinob Saito,,,
T,Ultra Space,S,2,,,112/131,,5ban Graphics,,,
T,Ultra Recon Squad,Su,2,,,114/131,,Megumi Mizutani,,,
