Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
95,Brock's Onix,Fg,3,,,21/132,,Benimaru Itoh,,,
74,Brock's Geodude,Fg,2,,,32/132,,Atsuko Nishida,,,
115,Blaine's Kangaskhan,N,2,,,36/132,,Ken Sugimori,,,
121,Misty's Starmie,W,2,,,56/132,,Ken Sugimori,,,
80,Sabrina's Slowbro,P,2,,,60/132,,Ken Sugimori,,,
58,Blaine's Growlithe,F,1,,,62/132,,Atsuko Nishida,,,
128,Blaine's Tauros,N,1,,,64/132,,Ken Sugimori,,,
74,Brock's Geodude,Fg,1,,,66/132,,Ken Sugimori,,,
56,Brock's Mankey,Fg,1,,,68/132,,Ken Sugimori,,,
95,Brock's Onix,Fg,1,,,69/132,,Ken Sugimori,,,
27,Brock's  Sandshrew,Fg,1,,,71/132,,Ken Sugimori,,,
37,Brock's Vulpix,F,1,,,73/132,,Ken Sugimori,,,
41,Brock's Zubat,G,1,,,74/132,,Atsuko Nishida,,,
100,Lt. Surge's Voltorb,El,1,,,84/132,,Ken Sugimori,,,
