Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
134,Vaporeon,W,3,Reverse,,12/64,,Kagemaru Himeno,,,,45123
12,Butterfree,G,2,,,33/64,,Kagemaru Himeno,,,,45136
103,Exeggcutor,G,2,,,35/64,,Kagemaru Himeno,,,,45138
44,Gloom,G,2,,,37/64,,Keiji Kinebuchi,Scratched,,,45140
105,Marowak,Fg,2,,,39/64,,Mitsuhiro Arita,,,,45142
30,Nidorina,G,2,,,40/64,,Ken Sugimori,,,,45143
47,Parasect,G,2,,,41/64,,Ken Sugimori,,,,45144
57,Primeape,Fg,2,,Edition 1,43/64,,Kagemaru Himeno,,,,45146
57,Primeape,Fg,2,,,43/65,,Kagemaru Himeno,,,,45146
112,Rhydon,Fg,2,,,45/64,,Kagemaru Himeno,,,,45148
119,Seaking,W,2,,,46/64,,Kagemaru Himeno,Bent,,,45149
70,Weepinbell,G,2,,,48/64,,Kagemaru Himeno,,,,45151
69,Bellsprout,G,1,,,49/64,,Kagemaru Himeno,Scratched,,,45152
104,Cubone,Fg,1,,,50/64,,Mitsuhiro Arita,,,,45153
133,Eevee,N,1,,,51/64,,Kagemaru Himeno,,,,45154
102,Exeggcute,G,1,,,52/64,,Mitsuhiro Arita,,,,45155
118,Goldeen,W,1,,,53/64,,Kagemaru Himeno,,,,45156
39,Jigglypuff,N,1,,,54/64,,Kagemaru Himeno,,,,45157
56,Mankey,Fg,1,,,55/64,,Kagemaru Himeno,,,,45158
52,Meowth,N,1,,,56/64,,Mitsuhiro Arita,,,,45159
29,Nidoran F,G,1,,,57/64,,Ken Sugimori,,,,45160
43,Oddish,G,1,,,58/64,,Keiji Kinebuchi,,,,45161
111,Rhyhorn,Fg,1,,,61/64,,Mitsuhiro Arita,,,,45164
48,Venonant,G,1,,,63/64,,Mitsuhiro Arita,,,,45166
48,Venonant,G,1,,Edition 1,63/64,,Mitsuhiro Arita,,,,45166
T,Poke Ball,T,1,,,64/64,,Keiji Kinebuchi,,,,45167
