Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
201,Unown !,P,3,,,42/146,,Kent Kanetsuna,,,
45,Vileplume,G,3,,,45/146,,Kagemaru Himeno,,,
351,Castform (Snow-Cloud),W,2,,,50/146,,Saya Tsuruta,,,
351,Castform (Sunny),F,2,,,51/146,,Lee HyunJung,,,
326,Grumpig,P,2,Reverse,,56/146,,Masakazu Fukuda,,,
201,Unown J,P,2,,,76/146,,Kent Kanetsuna,,,
201,Unown R,P,2,,,77/146,,Kent Kanetsuna,,,
201,Unown V,P,2,,,79/146,,Kent Kanetsuna,,,
201,Unown ?,P,2,,,82/146,,Kazuaki Aihara,,,
170,Chinchou,El,1,,,88/146,,Midori Harada,,,
106,Hitmonlee,Fg,1,,,100/146,,Mitsuhiro Arita,,,
322,Numel,F,1,,,110/146,,Kouki Saitou,Yes,,
300,Skitty,N,1,,,119/146,,Sumiyoshi Kizuki,,,
