Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
114,Tangela,G,1,,,1/214,,Ken Sugimori,,,5/12/2019,178798
187,Hoppip,G,1,,,12/214,,kawayoo,,,,178809
213,Shuckle,G,2,,,16/214,,Masakazu Fukuda,,,,178813
214,Heracross,G,2,,,18/214,,Ken Sugimori,,,,178817
269,Dustox,G,3,,,28/214,,Midori Harada,,,5/12/2019,178829
672,Skiddo,G,1,,,35/214,,Ken Sugimori,,,,178838
673,Gogoat,G,2,,,36/214,,sowsow,,,,178839
218,Slugma,F,1,,,43/214,,SATOSHI NAKAI,,,,178846
228,Houndour,F,1,,,45/214,,Ken Sugimori,,,,178850
229,Houndoom,F,3,,,46/214,,Sekio,,,,178850
244,Entei,F,3,Reverse,,47/214,,kawayoo,,,,178852
37,Alolan Vulpix,W,1,,,53/214,,Naoyo Kimura,,,5/12/2019,178860
178,Xatu,P,2,,,88/214,,Ken Sugimori,,,5/12/2019,178899
202,Wobbuffet,P,3,Full,,93/214,,Megumi Mitzutani,,,,178904
302,Sableye,P,2,,,96/214,,Miki Tanaka,,,5/12/2019,178907
562,Yamask,P,1,,,99/214,,Ken Sugimori,,,,178912
803,Poipole,P,1,,,107/214,,Hitoshi Ariga,,,5/12/2019,178920
246,Larvitar,Fg,1,,,114/214,,Misa Tsutsui,,,5/12/2019,178927
40,Wigglytuff,Fa,3,,,134/214,,nogimiso,,,,178953
209,Snubbull,Fa,1,,,137/214,,Akira Komayama,,,,178956
280,Ralts,Fa,1,,,139/214,,Yuka Morii,,,,178958
113,Chansey,N,1,,,152/214,,MAHOU,,,,178973
242,Blissey,N,3,Full,,153/214,,MAHOU,,,5/12/2019,178974
235,Smeargle,N,3,,,157/214,,Ken Sugimori,,,,178978
731,Pikipek,N,1,,,163/214,,Miki Tanaka,,,,178986
T,Electropower,I,2,,,172/214,,Eske Yoshinob,,,5/12/2019,178999
T,Fairy Charm,I,2,,,175/214,,Toyste Beach,,,,179004
T,Kahili,Su,2,,,179/214,,Ken Sugimori,,,,179008
T,Sightseer,Su,2,,,189/214,,Naoki Saito,,,,179025
T,Mixed Herbs,I,2,,,194/214,,Toyste Beach,,,,179017
