Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
48,Venonant,,1,,,1/119,,Sumiyoshi Kizuki,,
49,Venomoth,,3,,,2/119,,5ban Graphics,,
193,Yanma,,1,,,3/119,,Shin Nagasawa,,
469,Yanmega,,3,,,4/119,,Mitsuhiro Arita,,
540,Sewaddle,,1,,,5/119,,kawayoo,,
541,Swadloon,,2,,,6/119,,Tomokazu Komiya,,
588,Karrablast,,1,,,8/119,,Sanosuke Sakuma,,
662,Fletchinder,,2,,,9/119,,Suwama Chiaki,,
663,Talonflame,,3,,,10/119,,Mitsuhiro Arita,,
667,Litleo,,1,,,11/119,,Atsuko Nishida,,
158,Totodile,,1,,,15/119,,Kagemaru Himeno,,
159,Croconaw,,2,,,16/119,,Sumiyashi Kizuki,,
456,Finneon,,1,,,18/119,,Shinegori Negishi,,
457,Lumineon,,2,,,19/119,,sui,,
594,Alomomola,,1,,,22/119,,Kouki Saitou,,
595,Joltik,,1,,,26/119,,TOKIYA,,
695,Heliolisk,,3,Art,,30/119,,Kouki Saitou,,
695,Heliolisk,,3,Reverse,,30/119,,Kouki Saitou,,
41,Zubat,,1,,,31/119,,match,,
169,Crobat,,3,Art,,33/119,,Satoshi Shirai,,
202,Wobbuffet,,2,,,36/119,,sui,,
316,Gulpin,,1,,,37/119,,Hajima Kusajima,,
317,Swalot,,3,,,38/119,,Tomokazu Komiya,,
518,Musharna,,3,Reverse,,40/119,,Suwama Chiaki,,
710,Pumpkaboo,,1,,,44/119,,HiRON,,
472,Gliscor,,3,,,47/119,,Naoyo Kimura,,
524,Roggenrola,,1,,,48/119,,5ban Graphics,,
525,Boldore,,2,,,49/119,,Midori Harada,,
198,Murkrow,,1,,,51/119,,Kagemaru Himeno,,
430,Honchkrow,,3,,,52/119,,Hajime Kusajima,,
261,Poochyena,,1,,,53/119,,5ban Graphics,,
262,Mightyena,,3,,,54/119,,Sanosuke Sakuma,,
442,Spiritomb,,3,Reverse,,55/119,,PLANETA,,
509,Purrloin,,1,,,56/119,,Kouki Saitou,,
227,Skarmory,,1,,,59/119,,Sanosuke Sakuma,,
436,Bronzor,,1,,,60/119,,Akira Komayama,,
437,Bronzong,,3,,,61/119,,match,,
589,Escavalier,,3,Reverse,,64/119,,Mitsuhiro Arita,,
707,Klefki,,2,,,66/119,,Shin Nagasawa,,
684,Swirlix,,1,,,68/119,,Satashi Shirai,,
702,Dedenne,,1,,,70/119,,5ban Graphics,,
633,Deino,,1,,,72/119,,Shigenori Negishi,,
634,Zweilous,,2,,,73/119,,Kagemaru Himeno,,
704,Goomy,,1,Reverse,,75/119,,Sanosuke Sakuma,,
706,Goodra,,5,Reverse,,77/119,,5ban Graphics,,
21,Spearow,,1,,,78/119,,Mizue,,
22,Fearow,,2,Reverse,,79/119,,Shin Nagasawa,,
113,Chansey,,1,,,80/119,,Naoyo Kimura,,
242,Blissey,,3,Art,,81/119,,kirisAki,,
659,Bunnelby,,1,Reverse,,87/119,,Kagemaru Himeno,,
661,Fletchling,,1,,,89/119,,Kyoko Umemoto,,
T,AZ,Su,2,,,91/119,,Ken Sugimori,,
T,Battle Compressor,I,2,,,92/119,,Toyste Beach,Yes,
T,Enhanced Hammer,I,2,,,94/119,,Ryo Ueda,,
T,Genger Spirit Link,I,2,,,95/119,,5ban Graphics,,
T,Hand Scope,I,2,Full,,96/119,,Toyste Beach,,
T,Robo Substitute,I,2,,,102/119,,Toyste Beach,,
T,Roller Skates,I,2,,,103/119,,5ban Graphics,,
T,Shauna,Su,2,,,104/119,,Ken Sugimori,Yes,
T,Steel Shelter,S,2,,,105/119,,Ryo Ueda,,
T,Tierno,Su,2,,,107/119,,Ken Sugimori,,
T,Xerosic,Su,2,,,110/119,,Yusuke Ohmura,,
T,Mystery Energy,E,2,,,112/119,,5ban Graphics,,
