Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
13,Weedle,G,1,,,1/116,,Sumiyoshi Kizuki,,,
253,Grovyle,G,2,,,7/116,,Suwama Chiaki,,,
136,Flareon,F,2,,Team Plasma,12/116,,5ban Graphics,,,
607,Litwick,F,1,,,14/116,,Naoyo Kimura,,,
194,Wooper,W,1,,,21/116,,sui,,,
536,Palpitoad,W,2,,,25/116,,Masakazu Fukuda,,,
170,Chinchou,El,1,Reverse,,35/116,,Kouki Saitou,,,
29,Nidoran F,P,1,,,40/116,,Aya Kusube,,,
31,Nidoqueen,P,3,,,42/116,,Mizue,,,
32,Nidoran M,P,1,,,43/116,,Masokazu Fukuda,,,
88,Grimer,P,1,,,45/116,,Hajime Kusajima,,,
374,Beldum,P,1,,,50/116,,Shigenori Negishi,,,
562,Yamask,P,1,,,54/116,,Masakazu Fukuda,,,
56,Mankey,Fg,1,,,59/116,,Kagemaru Himeno,,,
57,Primeape,Fg,1,,,60/116,,Mitsuhiro Arita,,,
296,Makuhita,Fg,1,,,62/116,,Kagemaru Himeno,,,
551,Sandile,D,1,Reverse,,68/116,,sui,,,
624,Pawniard,D,1,,,71/116,,Kagemaru Himeno,,,
303,Mawile,Sl,2,,,80/116,,Mitsuhiro Arita,,,
149,Dragonite,Dr,3,Art,,83/116,,Akira Komayama,,,
133,Eevee,N,1,,,89/116,,Naoki Saitou,,,
241,Miltank,N,2,,,93/116,,MAHOU,,,
396,Starly,N,1,,,95/116,,Kouki Saitou,,,
T,Frozen City,S,2,,Team Plasma,100/116,,5ban Graphics,,,
