Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
13,Weedle,G,1,,,1/160,,Midori Harada,,,6/15/2019,XXXXXX
285,Shroomish,G,1,,,15/160,,Mizue,,,6/15/2019,XXXXXX
37,Vulpix,F,1,,,20/160,,kirisAki,,,5/12/2019,95904
219,Magcargo,F,3,,Full Art,24/160,,Kagemaru Himeno,,,6/15/2019,XXXXXX
258,Mudkip,W,1,,,33/160,,Aya Kusube,,,6/15/2019,XXXXXX
340,Whiscash,W,2,,,40/160,,Naoyo Kimura,,,6/15/2019,XXXXXX
363,Spheal,W,1,,,45/160,,TOKIYA,,,6/15/2019,XXXXXX
366,Clamperl,W,1,,,49/160,,Mitsuhiro Arita,,,5/12/2019,95947
309,Electrike,El,2,Full,Full Art,60/160,,Sanosuke Sakuma,,,5/12/2019,95957
31,Nidoqueen,P,3,,Full Art,69/160,,PLANETA,,,5/12/2019,95967
72,Tentacool,P,1,,,70/160,,Yukiko Baba,,,5/12/2019,95968
112,Rhydon,Fg,2,,,75/160,,Shin Nagasawa,,,5/12/2019,95973
307,Meditite,Fg,1,,,79/160,,sui,,,5/12/2019,95977
184,Azymarill,Fa,3,Full,,103/160,,MAHOU,,,6/15/2019,XXXXXX
263,Zigzagoon,N,1,,,111/160,,Sumiyoshi Kizuki,,,6/15/2019,XXXXXX
264,Linoone,N,2,Reverse,,112/160,,match,,,12/2/2018,96010
399,Bidoof,N,1,,,116/160,,Akira Kamayama,,,5/12/2019,96014
T,Aggron Spirit Link,I,2,,,123/160,,5ban Graphics,,,6/15/2019,XXXXXX
T,Maxie's Hidden Ball Trick,Su,2,,,133/160,,Ken Sugimori,,,5/12/2019,96031
T,Weakness Policy,I,2,,,142/160,,Ayaka Yoshida,,,5/12/2019,96040
