Pokedex,Pokemon,Type,HoloFoil,Promo Event,Other,Set No.,Set,Artist,Damaged,Price,Date
25,Pikachu,El,,Mewtwo Strikes Back theatrical release,,4,W,Ken Sugimori,Bent,,
151,Mew,P,,Pokémon League (January 2000),,8,W,Ken Sugimori,Tattered,,
213,Shuckle,Fg,Art,Undaunted Blisters,,HGSS15,HGSS,match,,,
245,Suicine,W,Art,Fall 2010 Collectors Tins,,HGSS21,HGSS,Hideaki Hakozaki,,,
137,Porygon,N,Art,Triumphant Three Pack Blisters,,HGSS22,HGSS,TOKIYA,,,
106,Hitmonlee,Fg,Art,Call of Legends Three Pack Blisters,,HGSS25,HGSS,Kouki Saitou,,,
26,Raichu,El,Art,Great Encounters Three Pack Blisters,,DP21,DP,Daisuke Ito,Bent,,
483,Dialga,Sl,Art,Dialga Premium Box,,DP26,DP,Ryo Ueda,,,
484,Palkia,W,Art,Palkia Premium Box,,DP27,DP,Daisuke Ito,,,
483,Dialga X,Sl,Full,2009 Spring Collectors Tins,,DP37,DP,Kazuyuki Kano,,,
495,Snivy,G,Art,Black & White Blisters,,BW06,BW,Shizurow,,,
610,Axew,N,Art,Black & White Collector's Album Box,,BW10,BW,Masakazu Fukuda,,,
572,Minccino,N,Art,Emerging Powers Two Pack Blisters,,BW13,BW,Atsuko Nishida,,,
519,Pidove,N,,Black & White booster two-packs,,BW15,BW,Naoki Saito,,,
610,Axew,N,,Black & White booster two-packs,,BW16,BW,Masakazu Fukuda,,,
580,Ducklett,W,Art,Black & White Two Pack Blisters,,BW17,BW,Kagemaru Himeno,,,
643,Reshiram,F,Full,EX Tins,Full Art,BW36,BW,Shizurow,,,
491,Darkrai EX,D,Full,Legendary EX Tins,Full Art,BW46,BW,Toyste Beach,,,
648,Meloetta,P,,EX Power Tins,,BW68,BW,Naoki Saito,,,
640,Virizion,G,Art,Legends of Justice Box,,BW70,BW,5ban Graphics,,,
653,Fennekin,F,Art,Fennekin Box,,XY02,XY,5ban Graphics,,,
716,Xerneas,Fa,Art,Xerneas Figure Collection,,XY05,XY,5ban Graphics,,,
445,Garchomp EX,Dr,Full,Garchomp EX Box,,XY09,XY,Ryo Ueda,,,
445,Garchomp EX,Dr,Full,Garchomp EX Box,Mega Card,XY09,XY,Ryo Ueda,,,
376,Metagross EX,Sl,Full,Mega Metagross-EX Premium Collection,Full Art,XY34,XY,PLANETA,,,
376,M Metagross EX,Sl,Full,Mega Metagross-EX Premium Collection,Full Art,XY35,XY,5ban Graphics,,,
376,M Metagross EX,Sl,Full,Mega Metagross-EX Premium Collection,Full Art / Mega Card,XY35,XY,5ban Graphics,,,
250,Ho-Oh BREAK,F,Full,BREAK Evolution Box: Ho-Oh and Lugia,Full Art / Horizontal,XY154,XY,5ban Graphics,,,
778,Mimikyu,P,Art,Mimikyu Pin Collection,,SM29,SM,Mitsuhiro Arita,,,
52,Alolan Meowth,D,Art,Burning Shadows Three Pack Blisters,,SM43,SM,Megumi Mizutani,,,
786,Tapu Lele,P,Art,Celestial Storm Three Pack Blisters,,SM45,SM,You Iribi,,,
785,Shiny Tapu Koko GX,El,Full,Shiny Tapu Koko GX Box,Full Art,SM50,SM,5ban Graphics,,,4/12/2019
785,Shiny Tapu Koko GX,El,Full,Shiny Tapu Koko GX Box,Full Art / Mega Card,SM50,SM,5ban Graphics,,,4/12/2019
744,Rockruff,Fg,Art,Forbidden Light Single Pack Blisters,,SM120,SM,Hideki Ishikawa,,,
25,Detective Pikachu,El,Reverse,Detective Pikachu Movie Theatre Release,,SM190,SM,Framestore,,,5/9/2019
25,Detective Pikachu,El,Reverse,Detective Pikachu Special Case File,,SM194,SM,MPC Film,,,4/12/2019
6,Charizard GX,F,Full,Detective Pikachu: Charizard GX Special Case File,Full Art,SM195,SM,Framestore,,,
6,Charizard GX,F,Full,Detective Pikachu: Charizard GX Special Case File,Full Art / Mega Card,SM195,SM,Framestore,,,
150,Mewtwo GX,P,Full,Detective Pikachu: Mewtwo Case File,Full Art,SM196,SM,MPC Film,,,4/20/2019
150,Mewtwo GX,P,Full,Detective Pikachu: Mewtwo Case File,Full Art / Mega Card,SM196,SM,MPC Film,,,4/20/2019
658,Greninja GX,W,Full,Detective Pikachu: Greninja GX Special Case File,Full Art,SM197,SM,MPC Film,,,
658,Greninja GX,W,Full,Detective Pikachu: Greninja GX Special Case File,Full Art / Mega Card,SM197,SM,MPC Film,,,
54,Psyduck,W,Reverse,Detective Pikahu In-Store Target Event,,SM199,SM,Framestore,,,5/11/2019
