Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
102,Exeggcute,G,1,,,1/108,,Tomokazu Komiya,,,
266,Silcoon,G,2,,,4/108,,Shigenori Negishi,,,
268,Casconn,G,1,,,6/108,,MAHOU,,,5/18/2019
357,Tropius,G,2,,,12/108,,Kyoko Umemoto,,,
177,Natu,P,1,,Full Art,28/108,,Kagemaru Himeno,,,
353,Shuppet,P,1,,,30/108,,Yukiko Baba,,,
207,Gligar,Fg,1,,,36/108,,Suwama Chiaki,,,
472,Gliscor,Fg,2,Reverse,,37/108,,Hajime Kusajima,,,
688,Binacle,Fg,1,,,38/108,,Kanako Eo,,,5/18/2019
175,Togepi,Fa,1,,,43/108,,HiRON,,,
149,Dragonite,Dr,3,,,51/108,,kawayoo,,,5/18/2019
149,Dragonite,Dr,3,Full,Full Art,52/108,,hatachu,,,5/18/2019
52,Meowth,N,1,,,67/108,,Akira Komayama,,,5/18/2019
276,Tailow,N,1,,,70/108,,Atsuko Nishida,,,
333,Swablu,N,1,Reverse,,73/108,,Mizue,,,
520,Tranquill,N,2,,,79/108,,sui,,,
521,Unfezant,N,3,,Full Art,81/108,,TOKIYA,,,
661,Fletchling,N,1,,,82/108,,Kanako Eo,,,
T,Ultra Ball,I,2,,,93/108,,5ban Graphics,,,5/18/2019
T,Wally,Su,2,,,94/108,,Megumi Mizutani,,,
475,Gallade,P,5,Full,Full Art / Ridged,99/108,,Rya Ueda,,,
