Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
201,Unown S,P,3,,,39/132,,Kazuyuki Kano,,,,90233
5,Charmeleon,F,2,,,46/132,,Atsuko Nishida,,,,84231
89,Muk,P,2,,,56/132,,Daisuke Ito,,,,87623
302,Sableye,D,2,,,63/132,,Sumiyoshi Kizuki,Bent,,,88852
201,Unown K,P,2,,,68/132,,Daisuke Ito,,,,90218
201,Unown N,P,2,,,69/132,,Daisuke Ito,,,,90224
201,Unown Z,P,2,,,72/132,,Kazuyuki Kano,,,,90247
4,Charmander,F,1,,,82/132,,Masokazu Fukuda,,,,84215
187,Hoppip,G,1,,,90/132,,Motofumi Fujiwara,,,,86181
179,Mareep,El,1,,,94/132,,Atsuko Nishida,,,87201
161,Sentret,N,1,,,104/132,,Midori Harada,,,,89066
191,Sunkern,G,1,,,114/132,,Midori Harada,,,,89621
100,Voltorb,El,1,,,117/132,,Satashi Ohta,Dirty,,,90418
