Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
187,Hoppip,,1,,,3/114,,Mina Nakai,,
193,Yanma,,1,,,6/114,,match,,
273,Seedot,,1,,,9/114,,sui,,
77,Ponyta,,1,,,16/114,,Sumiyoshi Kizuki,,
78,Rapidash,,2,,,17/114,,Yukiko Baba,,
390,Chimchar,,1,,,18/114,,Shibuzoh,,
667,Litleo,,1,,,23/114,,Kyoko Umemoto,,
501,Oshawott,,1,,,30/114,,sui,,
502,Dewott,,2,,,31/114,,Shin Nagasawa,,
179,Mareep,,1,,,38/114,,Eri Yamaki,,
595,Joltik,,1,,,41/114,,Ayaka Yoshida,,
596,Galvantula,,3,,,42/114,,match,,
33,Nidorino,,2,,,44/114,,TOKIYA,,
425,Drifloon,,1,,,46/114,,kodama,,
426,Drifblim,,2,,,47/114,,Miki Tanaka,,
609,Chandelure,,3,Art,,50/114,,Tomokazu Komiya,,
299,Nosepass,,1,,,54/114,,You Iribi,,
347,Anorith,,2,Reverse,,56/114,,Shigenori Negishi,,
454,Toxicroak,,3,,,59/114,,Hajime Kusajima,,
215,Sneasel,,1,,,60/114,,Hajime Kusajima,,
624,Pawniard,,1,,,63/114,,Sumiyoshi Kizuki,,
208,Steelix EX,,5,Full,Full Art,67/114,,Eske Yoshinob,,
599,Klink,,1,,,71/114,,Miki Tanaka,,
600,Klang,,2,,,72/114,,Shigenori Negishi,,
183,Marill,,1,,,76/114,,Shibuzoh,,
184,Azumarill,,2,,Shiny,77/114,,Sanosuke Sakuma,,
634,Zweilous,,2,,,85/114,,Ken Sugimori,,
52,Meowth,,1,,,88/114,,Masakazu Fukuda,,
53,Persian,,2,,,89/114,,Anesaki Dynamic,,
424,Ambipom,,2,Reverse,,91/114,,Atsuko Nishida,,
627,Rufflet,,1,Reverse,,92/114,,Mitsuhiro Arita,,
661,Fletchling,,1,Reverse,,94/114,,TOKIYA,,
T,Greedy Dice,I,2,,,102/114,,Toyste Beach,,
T,Pokemon Ranger,Su,2,,,104/114,,Yusuke Ohmura,,
