Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
398,Staraptor,N,3,,,27/100,,Kouki Saitou,,,,89509
400,Bibarel,W,2,,,32/100,,Kouki Saitou,,,,83818
253,Grovyle,G,2,,,39/100,,Naoyo Kimura,,,,85942
371,Bagon,N,1,,,53/100,,Aya Kusube,,,,83698
399,Bidoof,N,1,,,54/100,,Yuka Morii,,,,83827
456,Finneon,W,1,,,61/100,,Kagemaru Himeno,,,,85450
129,Magikarp,W,1,,,65/100,,Tomokazu Komiya,,,,87030
95,Onix,Fg,1,,,69/100,,Kyoko Umemoto,,,,87883
459,Snover,W,1,,,74/100,,Kagemaru Himeno,,,,89406
252,Treeko,G,1,,,79/100,,Naoyo Kimura,,,,90040
T,Energy Switch,T,2,,,84/100,,Ryo Ueda,,,,85258
T,Luxury Ball,T,2,,,86/100,,Ryo Ueda,,,,86953
T,Poke Drawer +,T,2,,,89/100,,Ryo Ueda,,,,88196
T,Switch,T,1,,,93/100,,Ryo Ueda,,,,89717
T,Warp Energy,E,2,,,95/100,,Takumi Akabane,,,,90475
26,Raichu X,El,5,Full,,99/100,,Ryo Ueda,,,,88528
