Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
142	Aerodactyl	Fg	3	Reverse		13	Masokazu Fukuda			
78	Rapidash	F	3			28	Lee HyunJung	Dirty		
437	Bronzong	Sl	2			33	Masakazu Fukuda	Used		8/20/2019
5	Charmeleon	F	2			35	Sumiyoshi Kizuki			
316	Gulpin	P	2			40	Sachiko Adachi	Used		8/20/2019
93	Haunter	P	2			41	Tomokazu Komiya			
404	Luxio	El	2			43	Suwama Chiaki			
413	Wormadam	Fg	2			50	Atsuko Nishida			
371	Bagon	N	1			52	Naoyo Kimura			
436	Bronzor	Sl	1			54	Masakazu Fukuda			7/20/2019
412	Burmy (Sandy)	G	1	Reverse		57	Tomokazu Komiya			
412	Burmy (Trash)	G	1			58	Yukiko Baba			
420	Cherubi	G	1			60	Yuka Morii			
453	Croagunk	Fg	1			61	Tomokazu Komiya			
309	Electrike	El	1			62	Yukiko Baba			
296	Makuhita	Fg	1			68	sui			
19	Rattata	N	1			73	Miki Tanaka			
361	Snorunt	W	1			75	Yuka Morii			
278	Wingull	W	1			80	Kyoko Umemoto			
T	Bench Shield	T	2			83	Wataru Kawahara			
T	Old Amber	T	2			89	Ryo Ueda			
