Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
143	Snorlax	N	3			30	Ken Sugimori			
71	Victreebel	G	3			32	Ken Sugimori			
147	Dratini	N	2			38	Ken Sugimori			
83	Farfetch'd	N	2			40	Ken Sugimori			
124	Jynx	P	2			45	Ken Sugimori	Bent		
8	Wartortle	W	2			63	Ken Sugimori			
10	Caterpie	G	1			68	Ken Sugimori			
102	Exeggcute	G	1			74	Mitsuhiro Arita			
46	Paras	G	1			85	Ken Sugimori			
121	Starmie	W	1			94	Keiji Kinebuchi			
48	Venonant	G	1			97	Mitsuhiro Arita			
37	Vulpix	F	1			99	Ken Sugimori			
13	Weedle	G	1			100	Mitsuhiro Arita			
T	Lass	T	3			104	Ken Sugimori			
T	Grass Energy	G				127	Keiji Kinebuchi			
T	Psychic Energy	P				129	Keiji Kinebuchi			
