Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
69	Bellsprout	G	1			001	Sekio			3/19/2021
70	Weepinbell	G	2			002	Shibuzoh.			3/22/2021
71	Victreebell	G	3	Reverse		003	Tika Matsuno			8/7/2021
331	Cacnea	G	1	Reverse		004	Kazuma Koda			3/19/2021
332	Cacturne	G	2	Reverse		005	Tomokazu Komiya			3/22/2021
420	Cherubi	G	1			007	Akira Komayama			3/22/2021
455	Carnivine	G	2			009	AKIRA EGAWA			3/22/2021
632	Durant	G	2	Reverse		010	kodama			6/10/2021
664	Scatterbug	G	1			011	Midori Harada			3/19/2021
665	Spewpa	G	2			012	Sumiyoshi Kizuki			3/19/2021
666	Vivillon	G	3			013	miki kudo			3/19/2021
753	Fomantis	G	1			014	Yukika Baba			3/22/2021
824	Blipbug	G	1			017	Masokazu Fukuda			3/19/2021
498	Tepig	F	1			023	You Iribi			3/19/2021
499	Pignite	F	2			024	tetsuya koizumi			3/19/2021
500	Emboar	F	3	Holo		025	Anesaki Dynamic			3/19/2021
500	Emboar	F	3	Reverse		025	Anesaki Dynamic			8/14/2022
631	Heatmor	F	2			026	Miki Tanaka			3/22/2021
757	Salandit	F	1			027	Yuka Morii			3/19/2021
758	Salazzle	F	3	Reverse		028	Shibuzoh.			3/19/2021
850	Sizzlipede	F	1			029	Yuka Morii			3/19/2021
851	Centiskorch	F	3	Reverse		030	Souichorou Gunjima			3/22/2021
116	Horsea	W	1			031	Anesaki Dynamic			3/22/2021
122	Mr. Mime	W	1		Galarian	034	kodama			3/19/2021
866	Mr. Rime	W	3		Galarian	035	HYOGONOSUKE			3/19/2021
223	Remoraid	W	1			036	HYOGONOSUKE			3/22/2021
341	Corphish	W	1			038	chibi			3/19/2021
342	Crawdaunt	W	2	Reverse		039	Hasegawa Suki			3/22/2021
395	Empoleon V	W	5	Full	Full Art	040	Ayaka Yoshida			3/22/2021
592	Frillish	W	1			041	miki kudo			3/19/2021
593	Jellicent	W	3	Reverse		042	Tomokazu Komiya			3/22/2021
779	Bruxish	W	2			043	Misa Tsutsui			3/19/2021
125	Electabuzz	El	1			044	Hasuno			3/19/2021
466	Electrivire	El	3			045	Megumi Higuchi			3/22/2021
403	Shinx	El	1	Reverse		046	sowsow			4/4/2021
404	Luxio	El	2	Reverse		047	Megumi Higuchi			4/4/2021
405	Luxray	El	3	Reverse		048	Kazuma Koda			4/4/2021
405	Luxray	El	3	Holo		048	Kazuma Koda			4/4/2021
417	Pachirisu	El	1			049	Naoyo Kimura			3/22/2021
785	Tapu Koko VMax	El	5	Full	Full Art / Textured	051	PLANETA Tsuji			3/19/2021
835	Yamper	El	1	Reverse		052	sui			3/19/2021
79	Slowpoke	P	1		Galarian	054	Ryota Murayama			3/19/2021
325	Spoink	P	1			055	kawayoo			3/19/2021
326	Grumpig	P	2			056	Tomokazu Komiya			4/4/2021
343	Baltoy	P	1			057	sui			3/19/2021
344	Claydol	P	3			058	Shibuzoh.			3/22/2021
358	Chimecho	P	1			059	Shibuzoh.			3/22/2021
677	Espurr	P	1			060	Saya Tsuruta			3/19/2021
678	Meowstic	P	3	Holo		061	Yuu Nishida			3/22/2021
778	Mimikyu V	P	3	Full	Full Art	062	Eske Yoshinob			8/14/2022
825	Dottler	P	2	Reverse		064	Midori Harada			3/19/2021
56	Mankey	Fg	1			066	Ryuta Fuse			3/19/2021
57	Primeape	Fg	3	Reverse		067	Kouki Saitou			3/22/2021
95	Onix	Fg	1			068	Naoyo Kimura			3/22/2021
104	Cubone	Fg	1	Reverse		069	You Iribi			3/19/2021
207	Gligar	Fg	1			071	Naoyo Kimura			3/19/2021
472	Gliscor	Fg	2			072	ryoma uratsuko			3/19/2021
532	Timburr	Fg	1			073	Mina Nakai			3/19/2021
533	Gurdrr	Fg	2	Reverse		074	Uta			3/22/2021
619	Mienfoo	Fg	1			076	NC Empire			3/19/2021
837	Rolycoly	Fg	1			078	SATOSHI NAKAI			3/19/2021
838	Carkoal	Fg	2			079	Uta			3/19/2021
839	Coalossal	Fg	3	Holo		080	AKIRA EGAWA			3/22/2021
839	Coalossal	Fg	3	Reverse		080	AKIRA EGAWA			8/14/2022
843	Silicobra	Fg	1			081	Atsuko Nishida			3/22/2021
844	Sandaconda	Fg	3	Reverse		082	hatachu			3/22/2021
870	Falinks	Fg	3			083	Hasuno			3/19/2021
874	Stonjourner	Fg	3			084	Masakazu Fukuda			3/22/2021
41	Zubat	D	1			089	Asako Ito			3/22/2021
42	Golbat	D	2	Reverse		090	sui			3/22/2021
169	Crobat	D	3			091	SATOSHI NAKAI			3/22/2021
80	Slowbro	D	3	Reverse	Galarian	092	Mitsuhiro Arita			5/11/2021
198	Murkrow	D	1	Reverse		093	Aya Kusube			3/22/2021
430	Honchkrow	D	2			094	Miki Tanaka			8/14/2022
228	Houndour	D	1			095	Sanosuke Sakuma			3/22/2021
229	Houndoom	D	3			096	Ryota Murayama			3/22/2021
877	Morpeko	D	2			098	NC Empire			3/19/2021
208	Steelix	Sl	3	Holo		099	NC Empire			8/7/2021
303	Mawile	Sl	1	Reverse		100	kawayoo			3/19/2021
436	Bronzor	Sl	1			101	Mizue			3/19/2021
437	Bronzong	Sl	3	Holo		102	Hasuno			8/14/2022
437	Bronzong	Sl	3	Reverse		102	Hasuno			8/7/2021
624	Pawniard	Sl	1	Reverse		103	otumami			3/22/2021
625	Bisharp	Sl	2	Reverse		104	tetsuya koizumi			3/22/2021
679	Honedge	Sl	1			105	sowsow			3/19/2021
680	Doublade	Sl	2			106	Miki Tanaka			3/22/2021
681	Aegislash	Sl	3			108	Naoyo Kimura			3/22/2021
21	Spearow	N	1	Reverse		111	Sekio			3/19/2021
22	Fearow	N	2			112	Yukiko Baba			3/22/2021
108	Lickitung	N	1			113	HYOGONOSUKE			3/22/2021
431	Glameow	N	1			115	Shigenori Negishi			3/19/2021
432	Purugly	N	2			116	Akira Komayama			5/11/2021
508	Stoutland V	N	5	Full	Full Art	117	Eske Yoshinob			3/22/2021
626	Bouffalant	N	2			118	nogimiso			3/19/2021
780	Drampa	N	3			119	Eri Yamaki			3/19/2021
876	Indeedee	N	2			120	Saya Tsuruta			3/22/2021
T	Bruno	Su	2	Reverse		121	Ken Sugimori			3/19/2021
T	Camping Gear	I	2			122	sadaji			3/22/2021
T	Cheryl	Su	2			123	Ken Sugimori			3/22/2021
T	Energy Recycler	I	2			124	Toyste Beach			3/22/2021
T	Escape Rope	I	2			125	sadaji			3/22/2021
T	Exp. Share	I	2			126	Toyste Beach			3/19/2021
T	Fan of Waves	I	2			127	sodaji			8/14/2022
T	Korrina's Focus	Su	2			128	kirisAki			6/13/2021
T	Level Ball	I	2			129	Ryo Ueda			3/19/2021
T	Phoebe	Su	2			130	GAME FREAK inc.			3/22/2021
T	Mustard	Su	2		Rapid Strike Style	132	Naoki Saito			3/22/2021
T	Scroll of Scorn	I	2	Reverse	Single Strike	133	5ban Graphics			3/22/2021
T	Mustard	Su	2		Single Strike Style	134	Mitsuhiro Arita			6/10/2021
T	Sordward & Shielbart	Su	2	Reverse		135	Hideki Ishikawa			3/22/2021
T	Tool Jammer	I	2			136	inose yukie			3/19/2021
