Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
495	Snivy	G	1			1	Kagemaru Himeno			
495	Snivy	G	1	Reverse		2	5ban Graphics			
496	Servine	G	2			3	Kagemaru Himeno			
497	Serperior	G	3	Reverse		5	Kagemaru Himeno			
497	Serperior	G	3	Art		5	Kagemaru Himeno			
497	Serperior	G	3	Art		6	5ban Graphics			
497	Serperior	G	3	Reverse		6	5ban Graphics			8/30/2019
511	Pansage	G	1	Reverse		7	sui			
512	Simisage	G	2	Reverse		8	Masakazu Fukuda			
548	Petilil	G	1			9	Kagemaru Himeno			
556	Maractus	G	3			12	Kouki Saitou			
585	Deerling	G	1			13	Atsuko Nishida			
586	Sawsbuck	G	3			14	Naoyo Kimura			
498	Tepig	F	1			15	Kouki Saitou			
498	Tepig	F	1			16	5ban Graphics			
499	Pignite	F	2	Reverse		17	Kouki Saitou			
499	Pignite	F	2			18	5ban Graphics			
513	Pansear	F	1			21	match			
514	Simisear	F	2			22	Shin Nagasawa			
554	Darumaka	F	2			24	Masakazu Fukuda			
501	Oshawott	W	1			27	Masakazu Fukuda			
501	Oshawott	W	1			28	5ban Graphics			
502	Dewott	W	2	Art		29	Masakazu Fukuda			
502	Dewott	W	2			30	5ban Graphics			
503	Samurott	W	3			31	Masakazu Fukuda			
515	Panpour	W	1			33	Atsuko Nishida	Tattered Edges		
516	Simipour	W	2			34	Kagemaru Himeno			
550	Basculin	W	2			35	Naoyo Kimura			
580	Ducklett	W	1			36	Kagemaru Himeno			
581	Swanna	W	3			37	Naoyo Kimura			
594	Alomomola	W	3			39	Naoyo Kimura			
522	Blitzle	El	1			40	Kouki Saitou			
522	Blitzle	El	1			41	Kagemaru Himeno			
523	Zebstrika	El	2	Reverse		42	Kouki Saitou			
595	Joltik	El	1			44	Kouki Saitou			
595	Joltik	El	1	Reverse		45	Masakazu Fukuda			
596	Galvantula	El	3			46	Mitsuhiro Arita			
517	Munna	P	2			48	Atsuko Nishida			
518	Musharna	P	3			49	Masakazu Fukuda			
527	Woobat	P	1			50	MAHOU			
528	Swoobat	P	2			51	Kouki Saitou			
543	Venipede	P	1			52	Masakazu Fukuda			
544	Whirlipede	P	2			53	Masakazu Fukuda			
545	Scolipede	P	3			54	Masakazu Fukuda			
577	Solosis	P	1			55	MAHOU			
578	Duosion	P	2			56	Shin Nagasawa			
532	Timburr	Fg	1			58	match			
532	Timburr	Fg	1			59	Masakazu Fukuda			
539	Sawk	Fg	3	Reverse		62	Naoki Saito			
551	Sandile	Fg	1			63	Naoyo Kimura			
552	Krokorok	Fg	2			64	Kouki Saitou			
559	Scraggy	D	1			68	Masakazu Fukuda			
560	Scrafty	D	3			69	Shin Nagasawa			
570	Zorua	D	1			70	Kouki Saitou			7/20/2019
630	Mandibuzz	D	3			73	Kouki Saitou			
599	Klink	Sl	1			74	Masakazu Fukuda			
600	Klang	Sl	2			75	Naoki Saito			
504	Patrat	N	1			77	Kagemaru Himeno			
504	Patrat	N	1			78	Masakazu Fukuda			
506	Lillipup	N	1			80	Masakazu Fukuda			
506	Lillipup	N	1			81	sui			
508	Stoutland	N	3			83	match			
519	Pidove	N	1			84	Masakazu Fukuda			
520	Tranquill	N	2			85	Kouki Saitou			
521	Unfezant	N	3			86	Kagemaru Himeno			
531	Audino	N	2			87	MAHOU			
572	Minccino	N	1			88	sui			
626	Bouffalant	N	2			90	Naoki Saito			
T	Energy Retrieval	I	2			92	Kent Kanetsuna			
T	Energy Search	I	1			93	Ryo Ueda			
T	Full Heal	I	2			95	5ban Graphics			
T	Poke Ball	I	2			97	Yuri Umemura			
T	Pokedex	I	2			98	Noriko Hotta			
T	Pokemon Communication	I	2			99	5ban Graphics			
T	Professor Juniper	Su	2			101	Ken Sugimori			
T	Revive	I	2			102	5ban Graphics			
T	Switch	I	1	Reverse		104	Ayaka Yoshida			
T	Water Energy	W	1			107				
F	Reshiram	F	5	Confetti	Full Art / 25th Anniversary	113	5ban Graphics			8/14/2022
F	Zekrom	El	5	Confetti	Full Art / 25th Anniversary	114	5ban Graphics			8/14/2022
