Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
43	Oddish	G	1	Reverse		1	Kanako Eo			
182	Bellossom	G	3			4	Mizue			
114	Tangela	G	1			5	MAHOU			
123	Scyther	G	1			7	kawayoo			
322	Numel	F	1			21	match			7/20/2019
323	Camerupt	F	3			22	Akira Komayama			
554	Darumaka	F	1			27	Aya Kusube			
9	Blastoise	W	3			31	Satoshi Shirai			
55	Golduck	W	3			35	Kagemaru Himeno			
225	Delibird	W	2			38	Sumiyoshi Kizuki			
581	Swanna	W	2			43	Suwama Chiaki			
25	Pikachu	El	1			50	Ken Sugimori			
100	Voltorb	El	1			51	Ken Sugimori			
125	Electabuzz	El	1	Reverse		53	Shigenori Negishi			
543	Venipede	P	1			72	Shigenori Negishi			
207	Gligar	Fg	1			80	Atsuko Nishida			
83	Farfetch'd	N	2			107	Ken Sugimori			
276	Tailow	N	1			112	Ken Sugimori			
519	Pidove	N	1			123	Tomakazu Komiya			
T	Rocky Helmet	I	2			133	Ryo Ueda			
T	Skyla	Su	2			134	Yusuke Ohmura			
