Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
152	Chikorita	G	1	Reverse		1	Akira Komayama	Slight Bent		5/18/2019
154	Meganium	G	3	Art		3	kawayoo			5/18/2019
401	Kricketot	G	1			5	Sumiyoshi Kizuki			
402	Kricketune	G	2			6	Suwama Chiaki			5/18/2019
548	Petilil	G	1			7	Naoyo Kimura			5/18/2019
549	Lilligant	G	3			8	Shin Nagasawa			5/18/2019
632	Durant	G	2	Reverse		9	Kouki Saitou			8/6/2019
58	Growlithe	F	1			10	match			5/18/2019
322	Numel	F	1			12	MAHOU			5/18/2019
631	Heatmor	F	2			15	match			5/18/2019
54	Psyduck	W	1			16	Kagemaru Himeno			5/18/2019
79	Slowpoke	W	1			19	Akira Komayama			
80	Slowbro	W	2			20	kirisAki			5/18/2019
199	Slowking	W	3	Art		21	Aya Kusube			
199	Slowking	W	3	Reverse		21	Aya Kusube			5/18/2019
90	Shellder	W	1			22	Mizue			
91	Cloyster	W	2			24	Saya Tsuruta			5/18/2019
120	Staryu	W	1			25	Hiroki Asanuma			5/18/2019
131	Lapras	W	2			28	kirisAki			8/6/2019
222	Corsola	W	1			29	Kanako Eo			5/18/2019
535	Tympole	W	1			33	Miki Tanaka			8/6/2019
580	Ducklett	W	1			36	Atsuko Nishida			8/6/2019
581	Swanna	W	2	Reverse		37	sui			5/18/2019
656	Froakie	W	1			38	Sanosuke Sakuma			5/18/2019
125	Electabuzz	El	1			42	Shin Nagasawa			5/18/2019
403	Shinx	El	1			44	Saya Tsuruta			5/18/2019
405	Luxray	El	3			46	Masakazu Fukuda			
405	Luxray BREAK	El	5	Full	Full Art	47	5ban Graphics			
522	Blitzle	El	1	Reverse		48	Aya Kusube			
523	Zebstrika	El	3			49	Hajime Kusajima			5/18/2019
96	Drowzee	P	1			50	Shigenari Negishi			
97	Hypno	P	3			51	Tomokazu Komiya			5/18/2019
451	Skorupi	P	1			53	Kyoko Umemoto			5/18/2019
452	Drapion	P	3			54	Mitsuhiro Arita			8/6/2019
568	Trubbish	P	1	Reverse		56	OOYAMA			5/18/2019
677	Espurr	P	1	Reverse		58	Kagemaru Himeno			5/18/2019
679	Honedge	P	1			60	kawayo			5/18/2019
680	Doublade	P	2			61	Hajime Kuzajima			5/18/2019
690	Skrelp	P	1			63	Yukiko Baba			5/18/2019
708	Phantump	P	1			64	Sumiyoshi Kizuki			5/18/2019
709	Trevenant	P	3			65	Midori Harada			8/6/2019
709	Trevenant BREAK	P	5	Full	Full Art	66	5ban Graphics			5/18/2019
443	Gible	Fg	1			68	Naoyo Kimura			5/18/2019
444	Gabite	Fg	2	Reverse		69	Midori Harada			5/18/2019
445	Garchomp	Fg	3	Reverse		70	TOKIYA			5/18/2019
674	Pancham	Fg	1			71	MAHOU			5/18/2019
274	Nuzleaf	D	2			72	Yuka Morii			
675	Pangoro	D	3			75	Naoki Saito			5/18/2019
597	Ferroseed	Sl	1			79	Satoshi Shirai			5/18/2019
35	Clefairy	Fa	1			81	Tomokazu Komiya			
682	Spritzee	Fa	1			84	kirisAki			5/18/2019
683	Aromatisse	Fa	2			85	kirisAki			7/20/2019
691	Dragalge	Dr	3	Reverse		86	Shin Nagasawa			5/18/2019
19	Rattata	N	1			87	match			
206	Dunsparce	N	2			90	Akira Komayama			5/18/2019
234	Stantler	N	2			91	sui			5/18/2019
250	Ho-oh EX	N	5	Full	Full Art	92	Eske Yoshinob			5/18/2019
431	Glameow	N	1			93	Saya Tsuruta			5/18/2019
432	Purugly	N	2			94	Kagemaru Himeno			5/18/2019
T	All-Night Party	S	2			96	Hitoshi Ariga			5/18/2019
T	Delinquent	Su	2			98	Yusuke Ohmura			
T	Great Ball	I	2			100	Toyste Beach			5/18/2019
T	Gyarados Spirit Link	I	2			101	5ban Graphics			8/6/2019
T	Max Elixir	I	2			102	Toyste Beach			5/18/2019
T	Misty's Determination	Su	2			104	Ken Sugimori			8/6/2019
T	Pokemon Catcher	I	2			105	5ban Graphics			5/18/2019
T	Potion	I	2			106	5ban Graphics			8/6/2019
T	Professor Sycamore	Su	2			107	Yusuke Ohmura			5/18/2019
T	Puzzle of Time	I	2	Reverse		109	Toyste Beach			8/6/2019
T	Reverse Valley	S	2		Full Art	110	5ban Graphics			
T	Scizor Spirit Link	I	2			111	5ban Graphics			5/18/2019
T	Tierno	Su	2			112	Ken Sugimori			5/18/2019
490	Manaphy EX	W	5	Full	Full Art / Textured	116	Ryo Ueda			5/18/2019
