Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
47	Parasect	G	3			2	Sumiyoshi Kizuki			8/27/2019
127	Pinsir	G	2			3	Satoshi Shirai			8/27/2019
331	Cacnea	G	1			4	Yuka Morii			8/27/2019
650	Chespin	G	1			8	Megumi Mizutani			8/27/2019
651	Quilladin	G	2			10	Miki Tanaka			8/27/2019
665	Spewpa	G	2	Reverse		14	Saya Tsuruta			12/20/2019
666	Vivillon	G	3	Art		15	Mizue			6/15/2019
673	Gogoat	G	2			17	Masakazu Fukuda			8/27/2019
155	Cyndaquil	F	1	Reverse		18	Tomokazu Komiya			8/27/2019
513	Pansear	F	1			23	sui			7/20/2019
653	Fennekin	F	1			25	Kanako Eo			
654	Braixen	F	2			26	kawayoo			8/27/2019
119	Seaking	W	2			28	Kyoko Umemoto			8/27/2019
120	Staryu	W	1			29	Shigenori Negishi			8/27/2019
223	Remoraid	W	1			31	Suwama Chiaki			12/20/2019
223	Remoraid	W	1			32	Suwama Chiaki			8/27/2019
362	Glalie EX	W	5	Full	Full Art	34	Eske Yoshinob			8/27/2019
393	Piplup	W	1			36	Kanako Eo			8/27/2019
582	Vanillite	W	1			43	MAHOU			8/27/2019
583	Vanillish	W	2			44	Kagemaru Himeno			8/27/2019
584	Vanilluze	W	3			45	Ayaka Yoshida			8/27/2019
657	Frogadier	W	2	Reverse		47	Masakazu Fukuda			8/27/2019
25	Pikachu	El	1			48	Kouki Saitou			8/27/2019
81	Magnemite	El	1			51	Akira Komayama			8/27/2019
81	Magenmite	El	1			52	Akira Komayama			8/27/2019
82	Magneton	El	2			53	Tomokazu Komiya			7/20/2019
618	Stunfisk	El	1			56	Naoki Saito			8/27/2019
92	Gastly	P	1			58	Shigenori Negishi			7/20/2019
200	Misdreavus	P	1	Art		65	sui			7/20/2019
429	Mismagius	P	3			66	Ayaka Yoshida			8/27/2019
202	Wobbuffet	P	2			67	Akira Komayama			7/20/2019
281	Kirlia	P	2			69	Sanosuke Sakuma			7/20/2019
488	Cresselia	P	3	Reverse		70	kawayoo			8/27/2019
527	Woobat	P	1			71	match			8/27/2019
528	Swoobat	P	2			72	sui			8/27/2019
605	Elgyem	P	1	Reverse		73	Aya Kusube			8/27/2019
606	Beheeyem	P	2			74	Tomokazu Komiya			8/27/2019
27	Sandshrew	Fg	1			75	Shigenori Negishi			
104	Cubone	Fg	1			77	Sumiyoshi Kizuki			8/27/2019
105	Marowak	Fg	3			78	match			8/27/2019
105	Marowak BREAK	Fg	5			79	5ban Graphics			8/27/2019
220	Swinub	Fg	1			80	Atsuko Nishida			
221	Piloswine	Fg	2			81	MAHOU			
449	Hippopotas	Fg	1	Reverse		83	Akira Komayama			8/27/2019
648	Meloetta	Fg	3	Art		85	kirisAki			
674	Pancham	Fg	1			86	Mizue			
570	Zorua	D	1			89	Hitoshi Ariga			8/27/2019
570	Zorua	D	1			90	Hitoshi Ariga			7/20/2019
571	Zoroark	D	3	Art		91	kawayoo			5/12/2019
686	Inkay	D	1			93	Kouki Saitou			8/27/2019
437	Bronzong	Sl	3			96	Tomokazy Komiya			7/20/2019
209	Snubbull	Fa	1	Reverse		98	Yuka Morii			
210	Granbull	Fa	2			99	Naoki Saito			
669	Flabebe	Fa	1			101	Kouki Saitou			8/27/2019
682	Spritzee	Fa	1			150	Naoyo Kimura			12/20/2019
683	Aromatisse	Fa	3			106	Mizue			8/27/2019
716	Xerneas	Fa	3	Art		107	Mitsuhiro Arita			7/30/2019
610	Axew	Dr	1			108	Kagemaru Himeno			12/20/2019
611	Fraxure	Dr	2			110	Mitsuhiro Arita			7/20/2019
52	Meowth	N	1			114	kirisAki			
84	Doduo	N	1			115	Naoki Saito			8/27/2019
84	Doduo	N	1			116	Naoki Saito			8/27/2019
163	Hoothoot	N	1	Reverse		119	Miki Tanaka			8/27/2019
164	Noctowl	N	3			120	Kouki Saitou			8/27/2019
217	Ursaring	N	2			122	5ban Graphics			8/27/2019
235	Smeargle	N	3			123	Yukiko Baba			
333	Swablu	N	1			124	Mizue			8/27/2019
396	Starly	N	1			125	Kyoko Umemoto			8/27/2019
714	Noibat	N	1			131	sui			8/27/2019
T	Assault Vest	I	2			133	Toyste Beach			
T	Brigette	Su	2			134	Megumi Mizutani			8/27/2019
T	Buddy-Buddy Rescue	I	2			135	Toyste Beach			8/27/2019
T	Giovanni's Scheme	Su	2			138	Ken Sugimori			8/27/2019
T	Heavy Boots	I	2	Reverse		141	Toyste Beach			8/27/2019
T	Judge	Su	2			143	Megumi Mizutani			8/27/2019
T	Professor's Letter	I	2			146	5ban Graphics			8/6/2019
T	Super Rod	I	2			149	Toyste Beach			8/27/2019
T	Town Map	I	2			150	Toyste Beach			8/27/2019
150	Mewtwo EX	P	5	Full	Full Art / Textured	158	Ryo Ueda			8/27/2019
