Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
420	Cherubi	G	1			012	Naoyo Kimura			9/28/2022
361	Snorunt	W	1			034	HYOGONOSUKE			10/05/2022
490	Manaphy	W	3			041	HYOGONOSUKE			9/28/2022
613	Cubchoo	W	1			042	ryoma uratsuka			10/05/2022
405	Luxray	El	3			051	Ayaka Yoshida			10/05/2022
121	Starmie	P	2			055	Akira Komayama			9/28/2022
343	Baltoy	P	1			058	Kyoko Umemoto			10/05/2022
356	Dusclops	P	2			061	miki kudo			9/28/2022
868	Milcery	P	1			070	Misa Tsutsui			10/05/2022
237	Hitmontop	Fg	2			072	ryoma uratsuka			10/05/2022
299	Nosepass	Fg	1			073	miki kudo			10/05/2022
447	Riolu	Fg	1			078	Teeziro			9/28/2022
539	Sawk	Fg	1			081	Shinji Kanada			9/28/2022
442	Spiritomb	D	1			089	Uta			9/28/2022
396	Starly	N	1			117	Saya Tsuruta			9/28/2022
T	Collapsed Stadium	S	2			137	Oswaldo KATO			10/05/2022
T	Gloria	Su	2			141	Ken Sugimori			9/28/2022
T	Magma Basin	S	2			144	ORBITALLINK Inc.			10/05/2022
