Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
10	Caterpie	G	1			1	Sekio			7/20/2019
11	Metapod	G	2			2	Suwama Chiaki			4/20/2019
12	Butterfree	G	3	Reverse		3	Shin Nagasawa			4/12/2019
43	Oddish	G	1			4	Sumiyoshi Kizuki			
44	Gloom	G	2			5	Shibuzoh.			
114	Tangela	G	1			7	Shibuzoh.			
465	Tangrowth	G	3			8	tetsuya koizumi			6/15/2019
165	Ledyba	G	1			9	Ayaka Yoshida			
511	Pansage	G	1			12	Shigenori Negishi			
512	Simisage	G	2			13	tetsuya koizumi			4/12/2019
751	Dewpider	G	1			14	Kouki Saitou			
4	Charmander	F	1	Reverse		18	Kagemaru Himeno			4/20/2019
5	Charmeleon	F	2			19	Kawayoo			
776	Turtonator	F	3			26	Kouki Saitou			4/12/2019
37	Vulpix	W	1		Alolan	27	Saya Tsuruta			
38	Ninetales	W	3		Alolan	28	Mitsuhiro Arita			
116	Horsea	W	1			29	Saya Tsuruta			
230	Kingdra	W	3	Art		31	Mitsuhiro Arita			
183	Marill	W	1			34	Asako Ito			
779	Bruxish	W	3	Reverse		38	Masakazu Fukuda			12/28/2019
25	Pikachu	El	1	Reverse		40	Saya Tsuruta			6/15/2019
602	Tynamo	El	1			44	Asako Ito			412/2019
603	Eelektrik	El	2			45	OOYAMA			
604	Eelektross	El	3			46	hatachu			12/28/2019
202	Wobbuffet	P	2			49	nagimiso			
336	Seviper	P	2	Reverse		50	Eri Yamaki			
355	Duskull	P	1			51	Midori Harada			4/12/2019
543	Venipede	P	1	Reverse		56	Yukiko Baba			
544	Whirlipede	P	2			57	SATOSHI NAKAI			4/12/2019
677	Espurr	P	1	Reverse		59	Miki Tanaka			9/19/2019
769	Sandygast	P	1			61	Masokazu Fukuda			4/20/2019
111	Rhyhorn	Fg	1			65	miki kudo			
112	Rhydon	Fg	2			66	Sanosuke Sakuma			
337	Lunatone	Fg	2			68	Shin Nagasawa			10/14/2020
447	Riolu	Fg	1			70	Saya Tsuruta			4/12/2019
539	Sawk	Fg	1			72	Shigenori Negishi			
739	Crabrawler	Fg	1			73	kirisAki			
740	Crabominable	Fg	3			74	Mitsuhiro Arita			9/19/2019
749	Mudbray	Fg	1			77	Saya Tsuruta			
88	Grimer	D	1	Alolan		83	Kouki Saitou			
215	Sneasel	D	1			85	Hasuno			
686	Inkay	D	1			89	OOYAMA			9/19/2019
687	Malamar	D	3			90	Mitsuhiro Arita			10/14/2020
280	Ralts	Fa	1	Reverse		91	Yumi			10/14/2020
281	Kirlia	Fa	2			92	Anesaki Dynamic			
742	Cutiefly	Fa	1			95	Atsuko Nishida			
743	Ribombee	Fa	2			96	Megumi Mizutani			
755	Morelull	Fa	1			97	Hitoshi Arigo			
137	Porygon	N	1			103	Shin Nagasawa			5/5/2019
233	Porygon2	N	2			104	Midori Harada			
163	Hoothoot	N	1			106	MAHOU			
164	Noctowl	N	2			107	Sekio			9/19/2019
626	Bouffalant	N	2			108	TOKIYA			
714	Noibat	N	1			109	Yumi			
759	Stufful	N	1			110	Sekio			12/28/2019
760	Bewear	N	3			111	Mitsuhiro Arita			5/5/2019
T	Acerola	Su	2			112	Ken Sugimori			4/20/2019
T	Escape Rope	I	2			114	Toyste Beach			8/6/2019
T	Guzma	Su	2			115	Ken Sugimori			
T	Kiawe	Su	2			116	Ken Sugimori			6/15/2019
T	Lana	Su	2			117	Ken Sugimori			
T	Mount Lanakila	S	2			118	5ban Graphics			9/19/2019
T	Olivia	Su	2			119	Ken Sugimori			
T	Plumeria	Su	2			120	Ken Sugimori			10/14/2020
T	Po Town	S	2	Reverse		121	5ban Graphics			5/5/2019
T	Sophocles	Su	2			123	Ken Sugimori			8/6/2019
T	Weakness Policy	I	2			126	Ayaka Yoshida			
T	Wishful Baton	I	2			128	Toyste Beach			4/20/2019
802	Marshadow GX	Fg	5	Full	Full Art / Rainbow / Textured	156	5ban Graphics		$9.32	4/20/2019
