Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
237	Hitmontop	Fg	3	Art		8	Shigenori Negishi			
237	Hitmontop	Fg	3	Reverse		8	Shigenori Negishi			
173	Cleffa	N	3			24	sui			
210	Granbull	N	3			26	Mizue			
199	Slowking	P	3			32	Sumiyoshi Kizuki			
143	Snorlax	N	3			33	Kent Kanetsuna			
465	Tangrowth	G	3			34	Hideaki Hakozaki			
217	Ursaring	N	3			37	Kouki Saito			
153	Bayleef	G	2			40	Shin Nagasawa			
159	Croconaw	W	2	Reverse		41	kawayoo			
232	Donphan	Fg	2			42	Midori Harada			
180	Flaafy	El	2			43	Masakazu Fukuda			
136	Flareon	F	2			44	kawayoo			
135	Jolteon	El	2			45	Shin Nagasawa			
240	Magby	F	2			46	Akira Komayama			
35	Clefairy	N	1			54	sui			
106	Hitmonlee	Fg	1			58	Kouki Saitou			
228	Houndour	D	1	Reverse		59	Kagemaru Himeno			
109	Koffing	P	1			60	Hajime Kusajima			
129	Magikarp	W	1			61	Mitsuhiro Arita			
303	Mawile	Sl	1			64	TOKIYA			
231	Phanpy	Fg	1			66	Ken Sugimori			
16	Pidgey	N	1			67	Suwama Chiaki			
204	Pineco	G	1			68	Kyoko Umemoto			
369	Relicanth	W	1			69	Wataru Kawahara			
79	Slowpoke	W	1	Reverse		70	Sumiyoshi Kizuki			
209	Snubbull	N	1			71	Mizue			
114	Tangela	G	1			72	Hideaki Hakozaki			
158	Totodile	W	1			74	Ken Sugimori			
37	Vulpix	F	1			75	TOKIYA			
T	Interviewer's Questions	Su	2			79	Kouki Saitou			
T	Research Record	T	2	Reverse		84	Hideaki Hakozaki			
