Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
250,Ho-Oh,F,3,Holo,,001/025,,Kouki Saitou,,,8/14/2022
643,Reshiram,F,3,Holo,,002/025,,Aya Kusube,,,8/14/2022
382,Kyogre,W,3,Holo,,003/025,,Ryuta Fusa,,,8/14/2022
484,Palkia,W,3,Holo,,004/025,,5ban Graphics,,,8/14/2022
25,Pikachu,El,3,Full,Full Art,005/025,,Mitsuhiro Arita,,,8/14/2022
25,Flying Pikachu V,El,5,Full,Full Art,006/025,,aky CG Works,,,8/14/2022
25,Flying Pikachu V-Max,El,5,Full,Full Art / Textured,007/025,,aky CG Works,,,8/14/2022
25,Surfing Pikachu V,El,5,Full,,008/025,,aky CG Works,,,8/14/2022
644,Zekrom,El,3,Holo,,010/025,,Aya Kusube,,,8/14/2022
151,Mew,P,3,Holo,,011/025,,Yuu Nishida,,,8/14/2022
716,Xerneas,P,3,Holo,,012/025,,AKIRA EGAWA,,,8/14/2022
789,Cosmog,P,3,Holo,,013/025,,kirisAki,,,8/14/2022
790,Cosmoem,P,3,Holo,,014/025,,kirisAki,,,8/14/2022
792,Lunala,P,3,Holo,,015/025,,kirisAki,,,8/14/2022
888,Zacian V,P,5,Full,Full Art,016/025,,Mitsuhiro Arita,,,8/14/2022
383,Groudon,Fg,3,Holo,,017/025,,Ryota Fuse,,,8/14/2022
889,Zamzenta V,Fg,5,Full,Full Art,018/025,,Mitsuiro Arita,,,8/14/2022
717,Yveltal,D,3,Holo,,019/025,,AKIRA EGAWA,,,8/14/2022
483,Dialga,Sl,3,Holo,,020/025,,5ban Graphics,,,8/14/2022
791,Solgaleo,Sl,3,Holo,,021/025,,kirisAki,,,8/14/2022
249,Lugia,N,3,Holo,,022/025,,Kouki Saitou,,,8/14/2022
T,Professor's Research,Su,3,Holo,Professor Oak,023/025,,KIYOTAKA OSHIYAMA,,,8/14/2022
T,Professor's Research,Su,5,Full,Professor Oak / Full Art / Textured,024/025,,Ken Sugimori,,,8/14/2022
151,Mew,P,5,Full,Full Art / Textured / Gold,025/025,,Saki Hayashiro,,,8/14/2022
