Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
13	Weedle	G	1	Reverse		001	Sanosuke Sakuma			8/14/2022
14	Kakuna	G	2			002	nogimiso			6/13/2021
15	Beedrill	G	3	Reverse		003	Misa Tsutsui			7/15/2021
165	Ledyba	G	1			004	Naoyo Kimura			6/13/2021
166	Ledian	G	2			005	Sekio			6/13/2021
214	Heracross	G	1			006	Hasuno			6/13/2021
459	Snover	G	1	Reverse		009	Naoki Saito			6/13/2021
460	Abomasnow	G	3			010-198	Akira Komayama			9/29/2022
585	Deerling	G	1	Reverse		011	Lee HyunJung			6/13/2021
586	Sawsbuck	G	3			012	Sekio			8/14/2022
761	Bounsweet	G	1			013	MAHOU			6/13/2021
762	Steenee	G	2			014	Tomokazu Komiya			7/15/2021
810	Grookey	G	1			016	kodama			7/15/2021
811	Thwackey	G	2			017	Kouki Saitou			6/13/2021
812	Rillaboom	G	3	Reverse		018	Hitoshi Ariga			6/13/2021
812	Rillaboom	G	3	Holo		018	Hitoshi Ariga			8/14/2022
351	Castform	F	1		Sunny Form	022	Yuka Morii			6/13/2021
636	Larvesta	F	1			023	Misa Tsutsui			6/13/2021
637	Volcarona	F	3			024	Mika Pikazo			6/13/2021
813	Scorbunny	F	1			026	tetsuya koizumi			6/13/2021
814	Raboot	F	2			027	Sonichirou Gunjima			8/14/2022
815	Cinderace	F	3	Holo		028	Ryuta Fuse			8/7/2021
131	Lapras	W	1			029	Atsushi Furusawa			6/13/2021
215	Sneasel	W	1			030	NC Empire			6/13/2021
351	Castform	W	1		Rainy Form	033	sowsow			8/14/2022
351	Castform	W	1	Reverse	Snowy Form	034	miki kudo			6/13/2021
361	Snorunt	W	1			035	Kouki Saitou			7/15/2021
478	Froslass	W	3	Holo		036	Souichirou Gunjima			6/13/2021
363	Spheal	W	1			037	kirisAki			6/13/2021
364	Sealeo	W	2			038	tetsuya koizumi			8/14/2022
365	Walrein	W	3			039	KEICHIRO ITO			8/14/2022
816	Sobble	W	1			041	Yuu Nishida			6/13/2021
817	Drizzile	W	2			042	Mitsuhiro Arita			6/13/2021
818	Inteleon	W	3			043	NC Empire			6/13/2021
179	Mareep	El	1	Reverse		047	Miki Tanaka			8/7/2021
180	Flaaffy	El	2			048	sui			6/13/2021
522	Blitzle	El	1			050	HYOGONOSUKE			6/13/2021
523	Zebstrika	El	3			051	Hasuno			8/14/2022
807	Zeraora V	El	5	Full	Full Art	053	chibi			8/7/2021
79	Slowpoke	P	1		Galarian	054	Naoyo Kimura			7/15/2021
92	Gastly	P	1			055	Motofumi Fujiwara			6/13/2021
94	Gengar	P	3	Reverse		057	Aya Kusube			7/15/2021
280	Ralts	P	1			059	Narumi Sato			6/13/2021
281	Kirlia	P	2			060	0313			8/7/2021
353	Shuppet	P	1			062	OKACHEKE			6/13/2021
354	Banette	P	3			063	Megumi Higuchi			6/13/2021
488	Cresselia	P	3	Reverse		064	Tika Matsumo			7/15/2021
622	Golett	P	1			065	0313			6/13/2021
684	Swirlix	P	1	Reverse		067	Shibuzoh.			8/14/2022
685	Slurpuff	P	3			068	Saya Tsuruta			6/13/2021
686	Inkay	P	1	Reverse		069	Sanosuka Sakuma			7/15/2021
856	Hatenna	P	1			071	Sekio			6/13/2021
857	Hattrem	P	2			072	miki kudo			6/13/2021
50	Diglett	Fg	1			076	Sanichirou Gunjima			6/13/2021
51	Dugtrio	Fg	3			077	Hitoshi Ariga			6/13/2021
83	Farfetch'd	Fg	1		Galarian	078	HYOGONOSUKE			6/13/2021
865	Sirfetch'd	Fg	3	Reverse	Galarian	079	Uta			7/15/2021
145	Zapdos	Fg	5	Full	Full Art / Galarian	080	5ban Graphic			7/15/2021
475	Gallade	Fg	3			081	NC Empire			8/7/2021
562	Yamask	Fg	1		Galarian	082	SATOSHI NAKAI			7/15/2021
867	Runerigus	Fg	3	Reverse	Galarian	083	KEICHIRO ITO			6/13/2021
740	Crabominable	Fg	2			085	Shigenori Negishi			6/13/2021
744	Rockruff	Fg	1			086	Yuu Nishida			6/13/2021
745	Lycanroc	Fg	3	Holo		087	Teeziro			7/15/2021
766	Passimian	Fg	3	Reverse		088	Akira Komayama			6/13/2021
852	Clobbopus	Fg	1	Reverse		091	Yuka Morii			7/15/2021
853	Grapploct	Fg	3	Holo		092	Anesaki Dynamic			8/14/2022
891	Kubfu	Fg	1			093	Kouki Saitou			6/13/20211
109	Koffing	D	1			094	Aya Kusube			7/15/2021
110	Weezing	D	3			095	Ryuta Fusa			6/13/2021
110	Weezing	D	3		Galarian	096	Miki Tanaka			7/15/2021
211	Qwilfish	D	1			101	Anesaki Dynamic			6/13/2021
336	Seviper	D	3	Reverse		102	Anesaki Dynamic			8/14/2022
543	Venipede	D	1			105	Oswaldo KATO			6/13/2021
544	Whirlipede	D	2			106	hatachu			7/15/2021
304	Aron	Sl	1			109	Kyoko Umemoto			6/13/2021
305	Lairon	Sl	2	Reverse		110	HYOGONOSUKE			8/14/2022
306	Aggron	Sl	3	Reverse		111	Teeziro			8/7/2021
137	Porygon	N	1			116	ryoma uratsuka			7/15/2021
233	Porygon2	N	2	Reverse		117	Nagomi Nijo			6/13/2021
335	Zangoose	N	3	Reverse		120	Anesaki Dynamic			8/14/2022
351	Castform	N	1			121	Asuko ito			7/25/2021
676	Furfrou	N	1			126	Tika Matsuno			8/4/2022
819	Skwovet	N	1			127	OKACHEKE			6/13/2021
820	Greedent	N	3	Reverse Holo		128	HYOGONOSUKE			8/4/2022
T	Agatha	Su	2	Reverse		129	Ken Sugimori			7/15/2021
T	Avery	Su	2			130	Ken Sugimori			6/13/2021
T	Caitlin	Su	2			132	Sanosuke Sakuma			7/15/2021
T	Crushing Gloves	I	2			133	Toyste Beach			7/15/2021
T	Dyna Tree Hill	S	2			135	Oswaldo KATO			7/15/2021
T	Echoing Horn	I	2			136	Studio Bora Inc.			6/13/2021
T	Expedition Uniform	I	2			137	AYUMI ODASHIMA			7/15/2021
T	Fire-Resistant Gloves	I	2			138	Toyste Beach			6/13/2021
T	Flannery	Su	2			139	Megumi Mizutani			6/13/2021
T	Fog Crystal	I	2	Reverse		140	sodaji			7/15/2021
T	Chestplate	I	2		Galarian	141	inose yukie			7/15/2021
T	Honey	Su	2	Reverse		142	Ryuta Fuse			8/14/2022
T	Justified Gloves	I	2			143	Toyste Beach			8/14/2022
T	Karen's Conviction	Su	2			144	Ken Sugimori			6/13/2021
T	Klara	Su	2			145	Ken Sugimori			9/29/2022
T	Melony	Su	2			146	take			7/15/2021
T	Old Cemetery	S	2			147	Oswaldo KATO			6/13/2021
T	Path to the Peak	S	2			148	Oswaldo KATO			7/15/2021
T	Peonia	Su	2			149	kirisAki			7/15/2021
T	Peony	Su	2			150	Ken Sugimori			7/15/2021
T	Scroll of the Skies	I	2		Rapid Strike	151	5ban Graphics			8/7/2021
T	Rugged Helmet	I	2			152	sadaji			8/14/2022
T	Siebold	Su	2			153	Ken Sugimori			7/15/2021
T	Scroll of Piercing	I	2		Single Strike	154	5ban Graphics			6/13/2021
T	Weeding Gloves	I	2			155	Toyste Beach			8/14/2022
T	Welcomin Lantern	I	2			156	Studio Bora Inc.			9/29/2022
T	Impact Energy	N	2			157				6/13/2021
T	Lucky Energy	N	2			158				7/15/2021
T	Spiral Energy	N	2			159				6/13/2021
641	Tornadus V	N	5	Full	Full Art / Textured	185	tetsuya koizumi			8/14/2022
T	Fan of Waves	I	5	Full	Full Art / Textured / Golden	226	sadahi			7/15/2021
T	Fog Crystal	I	5	Full	Full Art / Textured / Golden	227	sadaji			6/13/2021
