Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
43	Oddish	G	1			2	Yumi			11/2/2019
44	Gloom	G	2			3	sui			10/26/2019
114	Tangela	G	1			5	otumami			11/2/2019
465	Tangrowth	G	2			6	nogimiso			12/20/2019
191	Sunkern	G	1			7	0313			11/2/2019
214	Heracross	G	2			9	Satoshi Shirai			10/14/2020
357	Tropius	G	2			12	sowsow			10/26/2019
401	Kricketot	G	1			13	Ken Sugimori			10/26/2019
402	Kricketune	G	2			14	Anesaki Dynamic			10/26/2019
585	Deerling	G	1			15	Shibuzoh.			10/26/2019
586	Sawsbuck	G	3			16	sui			10/26/2019
722	Rowlet	G	1			17	Yuka Morii			11/2/2019
722	Rowlet	G	1			18	Saya Tsuruta			10/26/2019
723	Dartrix	G	2			19	Akira Komayama			10/26/2019
724	Decidueye	G	3	Art		20	kawayoo			11/2/2019
77	Ponyta	F	1			23	Uta			11/2/2019
78	Rapidash	F	2	Reverse		24	Misa Tsutsui			12/20/2019
136	Flareon	F	2			25	AKIRA EGAWA			12/20/2019
218	Slugma	F	1			26	Ken Sugimori			10/26/2019
219	Magcargo	F	3			27	Miki Tanaka			10/26/2019
244	Entei	F	3	Reverse		28	Shin Nagasawa			11/2/2019
324	Torkoal	F	2			29	0313			10/26/2019
494	Victini	F	3	Art		30	Saya Tsuruta			10/26/2019
636	Larvesta	F	2			34	Midori Harada			10/26/2019
637	Volcarona GX	F	5	Full	Full Art	35	Hiroyuki Yamamoto			10/26/2019
667	Litleo	F	1			36	HYOGONOSUKE			10/26/2019
668	Pyroar	F	2			37	KEIICHIRO ITO			10/26/2019
37	Vulpix	W	1		Alolan	39	nagisimo			10/26/2019
54	Psyduck	W	1			40	sui			11/2/2019
55	Golduck	W	2			41	Shignero Negishi			10/14/2020
134	Vaporeon	W	2			42	sui			11/2/2019
215	Sneasel	W	1	Reverse		43	ryoma uratsuka			10/14/2020
461	Weavile	W	3			44	MAHOU			11/2/2019
320	Wailmer	W	1			45	Tomokazu Komiya			12/20/2019
361	Snorunt	W	1			47	sowsow			12/20/2019
363	Spheal	W	1			49	sui			10/26/2019
363	Spheal	W	1	Reverse		50	SATOSHI NAKAI			11/2/2019
364	Sealeo	W	2			51	miki kudo			10/26/2019
393	Piplup	W	1			54	Suwama Chiaki			10/26/2019
394	Prinplup	W	2			55	Hasuno			10/26/2019
395	Empoleon	W	3			56	Masakazu Fukuda			10/26/2019
489	Phione	W	3			57	AKIRA EGAWA			12/20/2019
535	Tympole	W	1			58	Asako Ito			11/2/2019
580	Ducklett	W	1			59	Yumi			11/2/2019
581	Swanna	W	3			60	Yukiko Baba			12/28/2019
751	Dewpider	W	1			64	Shibuzoh.			10/26/2019
25	Pikachu	El	1			66	Naoyo Kimura			10/26/2019
26	Raichu	El	3			67	AKIRA EGAWA			11/2/2019
81	Magnemite	El	1			68	Suwama Chiaki			11/2/2019
170	Chinchou	El	1			71	Sekio			10/26/2019
110	Weezing	P	3			77	Motofumi Fujiwara			12/20/2019
177	Natu	P	1			78	tetsuya koizumi			10/26/2019
280	Ralts	P	1	Reverse		80	Atsuko Nishida			10/26/2019
281	Kirlia	P	2			81	sowsow			11/2/2019
475	Gallade	P	3	Reverse		82	Misa Tsutsui			12/28/2019
355	Duskull	P	1	Reverse		83	ryoma uratsuko			10/26/2019
479	Rotom	P	2			86	Mina Nakai			11/2/2019
527	Woobat	P	1			87	Shibuzoh.			11/2/2019
528	Swoobat	P	3			88	Tomokazu Komiya			11/2/2019
622	Golett	P	1			89	Shigenori Negishi			10/26/2019
623	Golurk	P	3			90	Ayaka Yoshida			10/26/2019
690	Skrelp	P	1			91	sui			10/26/2019
708	Phantump	P	1			93	miki kudo			11/2/2019
709	Trevenant	P	3	Reverse		94	Shin Nagasawa			10/26/2019
778	Mimikyu	P	3			97	Yuka Morii			10/14/2020
781	Dhelmise	P	2			98	Midori Harada			12/28/2019
789	Cosmog	P	1			100	Masakazu Fukuda			10/26/2019
299	Nosepass	Fg	1	Reverse		106	Anesaki Dynamic			10/26/2019
328	Trapinch	Fg	1			107	sowsow			11/2/2019
328	Trapinch	Fg	1			108	Midori Harada			11/2/2019
329	Vibrava	Fg	2			109	SATOSHI NAKAI			11/2/2019
347	Anorith	Fg	2			111	Sumiyoshi Kizuki			10/26/2019
348	Armaldo	Fg	3			112	Ayaka Yoshida			10/26/2019
383	Groudon	Fg	3			113	Shin Nagasawa			10/26/2019
529	Drilbur	Fg	1			114	Suwama Chiaki			11/2/2019
536	Palpitoad	Fg	1			116	Ken Sugimori			10/26/2019
538	Throh	Fg	2			118	Ken Sugimori			12/20/2019
674	Pancham	Fg	1			119	Motofumi Fujiwara			10/26/2019
675	Pangoro	Fg	2			120	Shin Nagasawa			11/2/2019
739	Crabrawler	Fg	1			121	Miki Tanaka			10/26/2019
744	Rockruff	Fg	1			123	Saya Tsuruta			10/26/2019
