Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
14,Kakuna,G,2,,,2/111,,Miki Kudo,,,,149022
15,Beedrill,G,3,,,3/111,,kirisAki,,,,149023
102,Exeggcute,G,1,,,4/111,,Kouki Saitou,,,,149025
331,Cacnea,G,1,,,5/111,,Anesaki Dynamic,,,,149026
332,Cacturne,G,3,,,6/111,,Mina Nokai,,,,149027
588,Karrablast,G,1,,,7/111,,OOYAMA,,,,149028
626,Shelmet,G,1,,,8/111,,OOYAMA,,,,149029
617,Accelgor,G,2,,,9/111,,tetsuya koizumi,,,,149030
672,Skiddo,G,1,Reverse,,10/111,,Naoki Saito,,,,149031
120,Staryu,W,1,,,15/111,,Yukiko Baba,,,,149036
220,Swinub,W,1,,,16/111,,Eri Yamaki,,,,149040
129,Magikarp,W,1,,,17/111,,TOKIYA,,,,149038
221,Piloswine,W,2,,,20/111,,Kouki Saitou,,,,149041
341,Corphish,W,1,,,24/111,,Masakazu Fukuda,,,,149045
349,Feebas,W,1,,,26/111,,Hitoshi Ariga,,,,149047
422,Shellos,W,1,,,29/111,,Kouki Saitou,,,,149051
25,Pikachu,El,1,,,30/111,,Shibuzoh.,,,,149053
74,Alolan Geodude,El,1,Full,,32/111,,Mitsuhiro Arita,,,,149055
75,Alolan Graveler,El,2,,,33/111,,kirisAki,,,,149056
92,Gastly,P,1,,,36/111,,Shibuzoh.,,,,149059
93,Haunter,P,2,,,37/111,,Eri Yamaki,,,,149060
326,Grumpig,P,2,,,42/111,,Saya Tsuruta,,,,149065
358,Chimecho,P,1,,,43/111,,Kanako Eo,,,,149066
710,Pumpkaboo,P,1,,,44/111,,Miki Tanaka,,,,149067
757,Salandit,P,1,,,46/111,,tetsuya koizumi,,,,149069
56,Mankey,Fg,1,,,50/111,,Miki Tanaka,,,,149073
104,Cubone,Fg,1,Full,,52/111,,sui,,,,149075
760,Bewear,Fg,3,Reverse,,56/111,,Saya Tsuruta,,,,149079
228,Houndour,D,1,,,58/111,,Kouki Saitou,,,,149081
633,Deino,D,1,,,60/111,,miki kudo,,,,149083
634,Zweilous,D,2,,,61/111,,kodama,,,,149084
305,Lairon,Sl,2,Full,,66/111,,Atsuko Nishida,,,,149089
782,Jangmo-o,Dr,1,,,75/111,,Atsuko Nishida,,,,149101
783,Hakamo-o,Dr,2,,,76/111,,Masokazu Fukuda,,,,149102
333,Swablu,N,1,Full,,79/111,,Mitsuhiro Arita,,,,149105
334,Altaria,N,3,,,80/111,,sui,,,,149106
396,Starly,N,1,,,81/111,,miki kudo,,,,149107
397,Staravia,N,2,,,82/111,,kawayoo,,,,149299
572,Minccino,N,1,,,85/111,,kodama,,,,149110
573,Cinccino,N,2,,,86/111,,0313,,,,149111
659,Bunnelby,N,1,,,87/111,,kirisAki,,,,149112
T,Counter Catcher,I,2,,,91/111,,Toyste Beach,,,,149116
T,Dashing Pouch,I,2,,,92/111,,Eske Yoshinob,,,,149117
T,Devoured Field,S,2,,,93/111,,5ban Graphics,,,,149118
T,Peeking Red Card,I,2,,,97/111,,Toyste Beach,,,,149122
