Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
308	Medicham	Fg	3			25	Midori Harada	Used		8/20/2019
8	Wartortle	W	2			43	Atsuko Nishida			
1	Bulbasaur	G	1			46	Kdgemaru Himeno	Dirty		
50	Diglett	Fg	1	Art	Stamped	50	Kyoko Umemoto			
39	Jigglypuff	N	1			53	Midori Harada	Used		8/20/2019
98	Krabby	W	1			54	Tomokazu Komiya			
258	Mudkip	W	1			58	Hajime Kusajima			
322	Numel	F	1			59	Miki Tanaka	Used		8/20/2019
273	Seedot	G	1			60	Yukiko Baba	Used		8/20/2019
7	Squirtle	W	1			64	Hajime Kusajima			
