Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
46	Paras	G	1			003	Atsuko Nishida			8/20/2020
47	Parasect	G	2			004	Miki Tanaka			8/20/2020
455	Carnivine	G	2			005	Masakazu Fukuda			8/20/2020
511	Pansage	G	1			006	Mina Nakai			8/20/2020
512	Simisage	G	2			007	Hasegawa Saki			5/11/2021
588	Karrablast	G	1			008	Mizue			7/22/2020
616	Shelmet	G	1	Reverse		009	Megumi Mizutani			7/22/2020
617	Accelgor	G	3			010	Shigenori Negishi			8/20/2020
722	Rowlet	G	1			011	HYOGONOSUKE			7/22/2020
723	Dartrix	G	2			012	Mitsuhiro Arita			7/22/2020
724	Decidueye	G	3	Holo		013	Ryota Murayama			8/14/2022
761	Bounsweet	G	1			014	Yuka Morii			7/22/2020
762	Steenee	G	2			015	sui			7/22/2020
763	Tsareena	G	3			016	so-taro			7/22/2020
767	Wimpod	G	1	Reverse		017	MAHOU			8/14/2022
6	Charizard V	F	5	Full	Full Art	019	oky CG Works			5/11/2021
6	Charizard VMax	F	5	Full	Full Art / Textured	020	oky CG Works			7/22/2020
229	Houndoom V	F	5	Full	Full Art	021	Ayaka Yoshida			7/22/2020
255	Torchic	F	1			022	Yuka Morii			7/22/2020
256	Combusken	F	2	Reverse		023	kodama			7/22/2022
513	Pansear	F	1			026	Megumi Mizutani			8/20/2020
514	Simisear	F	2			027	0313			7/22/2020
555	Darmanitan	F	3			028	Misa Tsutsui			8/14/2022
636	Larvesta	F	1			029	Uta			7/22/2020
637	Volcarona	F	3			030	NC Empire			8/14/2022
662	Fletchinder	F	2			031	Mitsuhiro Arita			7/22/2020
663	Talonflame	F	3	Reverse		032	kawayoo			7/22/2020
851	Centiskorch V	F	5	Full	Full Art	033	5ban Graphics			7/22/2020
122	Mr. Mime	W	1	Reverse	Galarian	035	Misa Tsutsui			8/20/2020
349	Feebas	W	1			038	HYOGONOSUKE			8/20/2020
369	Relicanth	W	2			040	MAHOU			8/14/2022
515	Panpour	W	1			041	ryoma uratsuka			7/22/2020
516	Simipour	W	2	Reverse		042	Shigenori Negishi			8/14/2022
554	Darumaka	W	1		Galarian	043	Shin Nagasawa			7/22/2020
555	Darmanitan	W	3	Reverse	Galarian	044	Masakazu Fukuda			7/22/2020
582	Vanillite	W	1			045	Sanosuke Sakuma			7/22/2020
583	Vanillish	W	2			046	Shibuzoh.			7/22/2020
584	Vanilluxe	W	3			047	kodama			7/22/2020
613	Cubchoo	W	1			048	Saya Tsuruta			8/14/2022
614	Beartic	W	3			049	Masakazu Fukuda			8/20/2020
746	Wishiwashi	W	1	Reverse		050	sui			5/11/2021
747	Mareanie	W	1			051	Tomokazu Komiya			8/20/2020
748	Toxapex	W	2			052	Masakazu Fukuda			8/14/2022
179	Mareep	El	1			055	sowsow			8/14/2022
180	Flaaffy	El	2			056	Tomokazu Komiya			7/22/2020
181	Ampharos	El	3			057	kodama			8/14/2022
309	Electrike	El	1			058	Yumi			7/22/2020
310	Manectric	El	3	Reverse		059	nogimiso			8/20/2020
738	Vikavolt V	El	5	Full	Full Art	060	Ayaka Yoshida			8/14/2022
484	Toxel	El	1			062	Akira Komayama			5/11/2021
849	Toxtricity	El	3	Art		063	Shin Nagasawa			7/22/2020
880	Dracozolt	El	3			065	Misa Tsutsui			8/20/2020
881	Arctozolt	El	3	Reverse		066	Hitoshi Ariga			5/11/2021
39	Jigglypuff	P	1			067	Motofumi Fujiwara			7/22/2020
40	Wigglytuff	P	3			068	Lee HyunJung			8/14/2022
209	Snubbull	P	1			070	otumami			8/14/2022
337	Lunatone	P	2	Reverse		072	Miki Tanaka			5/11/2021
574	Gothita	P	1	Reverse		073	Mizue			8/14/2021
576	Gothitelle	P	3	Reverse		075	Eri Yamaki			8/14/2022
622	Golett	P	1	Reverse		076	Ryuta Fuse			8/20/2020
702	Dedenne	P	2			078	Shibuzoh.			8/14/2022
755	Morelull	P	1			079	Suwama Chiaki			8/20/2020
756	Shiinotic	P	2	Reverse		080	Misa Tsutsui			7/22/2020
778	Mimikyu	P	3			081	Ryota Murayama			7/22/2020
855	Polteageist	P	2			083	kirisAki			7/22/2020
50	Diglett	Fg	1	Reverse		084	Hideki Ishikawa			8/20/2020
51	Dugtrio	Fg	2			085	Yukiko Baba			7/22/2020
246	Larvitar	Fg	1			086	Sanosuke Sakuma			8/20/2020
247	Pupitar	Fg	2	Reverse		087	Sekio			8/20/2020
328	Trapinch	Fg	1			089	Asako Ito			7/22/2020
329	Vibrava	Fg	2	Reverse		090	Sumiyoshi Kizuki			8/14/2022
338	Solrock	Fg	2			092	Miki Tanaka			8/20/2020
449	Hippopotas	Fg	1			093	Shin Nagasawa			7/22/2020
766	Passimian	Fg	1			097	SATOSHI NAKAI			8/7/2021
88	Grimer	D	1	Reverse		100	Ryota Murayama			8/7/2021
167	Spinarak	D	1			102	Kyoko Umemoto			7/22/2020
168	Ariados	D	2			103	Shin Nagasawa			7/22/2020
509	Purrloin	D	1			106	sowsow			8/20/2020
633	Deino	D	1			108	Masakazu Fukuda			7/22/2020
634	Zeilous	D	2			109	tetsuya koizumi			7/22/2020
635	Hydreigon	D	3	Reverse	Thank You Promo	110	kawayoo			4/4/2021
827	Nickit	D	1			112	Misa Tsutsui			8/7/2021
828	Thievul	D	3	Reverse		113	Akira Komayama			7/22/2020
829	Grimmsnarl V	D	5	Full	Full Art	114	5ban Graphics			8/20/2020
227	Skarmory	Sl	1	Reverse		120	NC Empire			8/14/2022
304	Aron	Sl	1			121	Naoyo Kimura			8/14/2022
305	Lairon	Sl	2			122	Mizue			7/22/2020
306	Aggron	Sl	3	Holo		123	Hasuno			8/14/2022
599	Klink	Sl	1			125	Kouki Saitou			8/20/2020
600	Klang	Sl	2			126	MC Empire			8/7/2021
601	Klinklang	Sl	3	Reverse		127	Naoki Saito			8/20/2020
808	Meltan	Sl	1			129	HYOGONOSUKE			8/20/2020
115	Kangaskhan	N	3			133	kawayoo			7/22/2020
128	Tauros	N	1			134	Anesaki Dynamic			8/14/2022
161	Sentret	N	1			135	Mina Nakai			7/22/2020
162	Furret	N	2			136	tetsuya koizumi			7/22/2020
206	Dunsparce	N	1	Reverse		137	Kazuma Koda			8/20/2020
216	Teddiursa	N	1	Reverse		138	Yukiko Baba			8/20/2020
217	Ursaring	N	2	Reverse		139	Uta			8/14/2022
249	Lugia	N	3			140	Hasuno			8/20/2020
300	Skitty	N	1			141	Saya Tsuruta			7/22/2020
373	Salamence V	N	5	Full	Full Art	143	Saki Hayashiro			8/7/2021
396	Starly	N	1	Reverse		145	Naoyo Kimura			7/22/2020
397	Staravia	N	2			146	chibi			8/20/2020
398	Staraptor	N	3			147	AKIRA EGAWA			8/20/2020
580	Ducklett	N	1			148	Midori Harada			7/22/2020
581	Swanna	N	3			149	Taira Akitsu			7/22/2020
659	Bunnelby	N	1			150	Tomokazu Komiya			8/20/2020
661	Fletchling	N	1			151	Midori Harada			8/20/2020
819	Skwovet	N	1			152	Akira Komayama			7/22/2020
820	Greedent	N	3			153	Kouki Saitou			8/20/2020
821	Rookidee	N	1			154	Hitoshi Ariga			7/22/2020
822	Corvisquire	N	2			155	kirisAki			8/14/2022
823	Corviknight	N	3	Holo		156	Kouki Saitoi			8/14/2022
T	Big Parasol	I	2	Reverse		157	Toyste Beach			8/14/2022
T	Billowing Smoke	I	2			158	5ban Graphics			5/11/2021
T	Bird Keeper	Su	2			159	Hideki Ishikawa			7/22/2020
T	Cape of Toughness	I	2			160	inose yukie			8/20/2020
T	Glimwood Tangle	S	2			162	oky CG Works			7/22/2020
T	Old PC	I	2			164	Studio Bora Inc.			7/22/2020
T	Piers	Su	2			165	take			8/14/2022
T	Pokemon Breeder's Nuturing	Su	2			166	kirisAki			7/22/2020
T	Rare Fossil	I	2			167	5ban Graphics			7/22/2020
T	Rose	Su	2			168	Yusuke Ohmura			5/11/2021
T	Rose Tower	S	2	Reverse		169	5ban Graphics			8/14/2022
T	Turbo Patch	I	2			172	Toyste Beach			8/20/2020
T	Yell Horn	I	2	Reverse		173	5ban Graphics			7/22/2020
T	Heat Energy	F	2			174				7/22/2020
T	Hiding Energy	D	2			175				8/20/2020
T	Powerful Energy	N	2			176				8/20/2020
T	Pokemon Breeder's Nuturing	Su	5	Full	Rainbow Rare	195	kirisAki			5/11/2021
