Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
1	Bulbasaur	G	1	Reverse		1	MPC Film			
272	Ludicolo	G	3	Reverse		2	Framestore			
755	Morelull	G	1	Reverse		3	MPC Film			
4	Charmander	F	1	Reverse		4	MPC Film			
6	Charizard	F	5	Reverse		5	Framestore			7/12/2019
59	Arcanine	F	3	Reverse		6	MPC Film			
54	Psyduck	W	1	Reverse		7	Framestore			
129	Magikarp	W	1	Reverse		8	Framestore			
658	Greninja	W	5	Reverse		9	MPC Film			
25	Detective Pikachu	El	3	Reverse		10	MPC Film			
122	Mr. Mime	P	3	Reverse		11	MPC Film			
150	Mewtwo	P	5	Reverse		12	MPC Film			
68	Machamp	Fg	3	Reverse		13	MPC Film			
39	Jigglypuff	Fa	1	Reverse		14	Framestore			
209	Snubbull	Fa	1	Reverse		15	Framestore			
108	Lickitung	N	1	Reverse		16	MPC Film			
132	Ditto	N	5	Reverse		17	MPC Film			
289	Slaking	N	3	Reverse		18	Framestore			
