Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
267	Beautifly	G	3			19	Atsuko Nishida			
269	Dustox	G	3			25	Kouki Saitou	Bent		
274	Nuzleaf	D	2			57	Kagemaru Himeno	Torn Edges		8/20/2019
78	Rapidash	F	2			59	Naoyo Kimura			8/17/2019
447	Riolu	Fg	2			61	Ken Sugimori	Used		8/20/2019
266	Silcoon	G	2			63	Ken Sugimori			
201	Unown A	P	2			65	Nakaoka			
201	Unown D	P	2			68	Nakaoka			
438	Bonsly	Fg	1			71	Midori Harada	Used		8/20/2019
418	Buizel	W	1			72	Ken Sugimori			
390	Chimchar	F	1	Reverse	Stamped	76	Ken Sugimori			
415	Combee	G	1			79	Ken Sugimori			
355	Duskull	P	1			80	Atsuko Nishida	Scratched		7/20/2019
92	Gastly	P	1			82	Kouki Saitou			
81	Magnemite	Sl	1			87	Kouki Saitou	Bent		
315	Roselia	G	1			96	Ken Sugimori			
215	Sneasel	D	1			100	Ken Sugimori	Used		8/20/2019
396	Starly	N	1			101	Ken Sugimori			7/20/2019
265	Wurmple	G	1			104	Ken Sugimori			
389	Torterra lv.X	G	3			120	Shizurow			
T	Grass Energy	G	1			123				
T	Water Energy	W	1			125				
