Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
159	Croconaw	El	2	Art	Delta Species	27	Yuka Morii			
125	Electabuzz	Fg	2		Delta Species	29	Ken Sugimori	Used		8/20/2019
156	Quilava	P	2		Delta Species	36	Midori Harada	Used		8/20/2019
329	Vibrava	P	2		Delta Species	42	Midori Harada	Used		8/20/2019
152	Chikorita	Fg	1		Delta Species	44	Yuka Morii			
155	Cyndaquil	P	1		Delta Species	45	Atsuko Nishida	Used		8/20/2019
349	Feebas	F	1		Delta Species	49	Yukiko Baba	Used		8/20/2019
116	Horsea	Fg	1	Art	Delta Species / Stamped	50	Hisao Nakamura			
29	Nidoran F	Sl	1		Delta Species	56	Hajime Kusajima	Used		8/20/2019
280	Ralts	F	1		Delta Species	61	Kyoko Umemoto	Used		8/20/2019
86	Seel	N	1		Delta Species	62	Hajime Kusajima	Used		8/20/2019
90	Shellder	Fg	1		Delta Species	63	Hisao Nakamura			
276	Tailow	F	1		Delta Species	66	Miki Tanaka			
158	Totodile	El	1		Delta Species	67	Hisao Nakamura			
328	Trapinch	P	2		Delta Species	68	Midori Harada			
194	Wooper	G	1		Delta Species	71	Tomokazu Komiya	Used		8/20/2019
