Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
5	Charmeleon	F	2			2	kodama			1/5/2020
255	Torchic	F	1			4	Kouki Saitou			
256	Combusken	F	2			5	Ken Sugimori			
257	Blaziken	F	3			6	Kouki Saitou			
494	Victini	F	3	Full	Prism Star	7	Shin Nagasawa			1/5/2020
554	Darumaka	F	1			8	Mitsuhiro Arita			1/5/2020
631	Heatmor	F	2	Reverse		10	Ken Sugimori			1/5/2020
726	Litten	F	1			12	Ryota Murayama			1/5/2020
757	Salandit	F	1			13	MAHOU			1/5/2020
758	Salazzle	F	2			14	Maoki Saito			1/5/2020
116	Horsea	W	1			15	Yukiko Baba			1/5/2020
117	Seadra	W	2			17	Yumi			1/5/2020
230	Kingdra GX	W	5	Full	Full Art	18	5ban Graphics			1/5/2020
129	Magikarp	W	1			19	Sekio			1/5/2020
158	Totodile	W	1			22	Hironobu Yoshida			1/5/2020
159	Croconaw	W	2	Reverse		23	Ken Sugimori			1/5/2020
160	Feraligatr	W	3	Art		24	Ken Sugimori			1/5/2020
194	Wooper	W	1			25	Shibuzoh.			1/5/2020
195	Quagsire	W	2			26	Ken Sugimori			1/5/2020
349	Feebas	W	1			28	Shin Nagasawa			1/5/2020
746	Wishiwashi	W	1			31	Kouki Saitou			1/5/2020
328	Trapinch	Fg	1			32	Naoyo Kimura			1/5/2020
147	Dratini	Dr	1			34	Ayaka Yoshida			1/5/2020
147	Dratini	Dr	1			35	Anesaki Dynamic			1/5/2020
148	Dragonair	Dr	2			36	sui			1/5/2020
329	Vibrava	Dr	1			38	Ken Sugimori			1/5/2020
334	Altaria	Dr	3	Art	Alternate Art	40	Shin Nagasawa			7/26/2019
371	Bagon	Dr	1			42	Kouki Saitou			1/5/2020
621	Druddigon	Dr	2			45	Mitsuhiro Arita			1/5/2020
644	Zekrom	Dr	3	Art		46	Hasuno			1/5/2020
776	Turtonator	Dr	2			50	Sumiyoshi Kizuki			1/5/2020
780	Drampa	Dr	2	Reverse		51	Sanosuke Sakuma			1/5/2020
782	Jangmo-o	Dr	2			52	Yusuke Ohmura			1/5/2020
115	Kangaskhan	N	1	Reverse		55	Naoyo Kimura			1/5/2020
333	Swablu	N	1			56	Yukiko Baba			7/20/2019
333	Swablu	N	1			57	Shubuzoh.			1/5/2020
T	Blaine's Last Stand	Su	3	Art		58	Ken Sugimori			1/5/2020
T	Fiery Flint	I	2			60	Eske Yoshinob			1/5/2020
T	Switch Raft	I	2			62	Yoshinobu Saito			1/5/2020
T	Wela Volanco Park	S	2			63	5ban Graphics			1/5/2020
