Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
268	Cascoon	G	2			9	match			7/20/2019
290	Nincada	G	1			10	MAHOU			
315	Roselia	G	2			12	Suwama Chiaki			
315	Roselia	G	1			13	Shin Nagasawa			
126	Magmar	F	1			20	Kagemaru Himeno			
320	Wailmer	W	2			25	Atsuko Nishida			
180	Flaaffy	El	2			39	Atsuko Nishida			
309	Electrike	El	1			41	kawayoo			
425	Drifloon	P	1			50	Kouki Saitou			
574	Gothita	P	1			55	Aya Kusube			7/20/2019
622	Golett	P	1			58	Mitsuhiro Arita			
524	Roggenrola	Fg	1			65	Kyoko Umemoto			
618	Stunfisk	Fg	2	Reverse		70	HiRON			
229	Houndoom	D	3			75	Akira Komayama			
435	Skuntank	D	2	Reverse		77	Midori Harada			
443	Gible	Dr	1			86	Masakazu Fukuda			7/20/2019
443	Gible	Dr	1			87	Kagemaru Himeno			
635	Hydreigon	Dr	3			98	Naoki Saito			
288	Vigoroth	N	2			102	match			
289	Slaking	N	3	Art		103	Naoki Saito			
333	Swablu	N	2			104	Aya Kusube			
572	Minccino	N	1			109	Kagemaru Himeno			
627	Rufflet	N	1	Reverse		111	Suwama Chiaki			
T	Devolution Spray	I	2	Reverse		113	Ryo Ueda			
T	Tool Scrapper	I	2			116	Ryo Ueda			
T	Blend Energy	N	2			117	5ban Graphics			
