Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
511,Pansage,G,1,,,1/98,,Kouki Saitou,,,,87933
540,Sewaddle,G,1,,,3/98,,Kagemaru Himeno,,,,89090
541,Swadloon,G,2,,,5/98,,Naoki Saito,,,,89665
541,Swadloon,G,2,,,6/98,,MAHOU,,,,89666
542,Leavanny,G,3,Reverse,,7/98,,Kouki Saitou,,,,86685
546,Cottonee,G,1,,,10/98,,Kagemaru Himeno,,,,84445
547,Whimsicott,G,3,Reverse,,12/98,,Mizue,,,,90568
549,Lilligant,G,2,,,14/98,,Shin Nagasawa,,,,86726
513,Pansear,F,1,,,18/98,,Masakazu Fukuda,,,,87941
554,Darumaka,F,1,,,20/98,,Mitsuhiro Arita,,,,84719
555,Darmanitan,F,3,,,21/98,,Mitsuhiro Arita,,,,84714
515,Panpour,W,1,,,22/98,,Kagemaru Himeno,,,,87928
550,Basculin,W,1,,,24/98,,match,,,,83731
550,Basculin,W,2,,,25/98,,Akira Komayama,,,,83732
580,Ducklett,W,1,,,26/98,,MAHOU,,,,84991
581,Swanna,W,3,,,27/98,,Atsuko Nishida,,,,89685
613,Cubchoo,W,1,,,28/98,,sui,,,,84523
613,Cubchoo,W,1,Reverse,,29/98,,Kanaka Eo,,,,84524
614,Beartic,W,3,,,31/98,,Kagemaru Himeno,,,,83752
595,Joltik,El,1,,,33/98,,Kagemaru Himeno,,,,86355
527,Woobat,P,1,,,36/98,,Masakazu Fukuda,,,,90625
543,Venipede,P,1,,,39/98,,Kouki Saitou,,,,90295
561,Sigilyph,P,2,,,41/98,,Midori Harada,,,,89204
574,Gothita,P,1,,,43/98,,MAHOU,,,,85845
574,Gothita,P,1,,,44/98,,sui,,,,85846
575,Gothorita,P,2,,,46/98,,Naoki Saito,,,,85855
576,Gothitelle,P,3,,,47/98,,Kagemaru Himeno,,,,85852
524,Roggenrola,Fg,1,,,49/98,,Kagemaru Himeno,,,,88805
524,Roggenrola,Fg,1,,,50/98,,Masakazu Fukuda,,,,88806
525,Boldore,Fg,2,Reverse,,51/98,,Kouki Saitou,,,,83933
525,Boldore,Fg,2,,,52/98,,Masakazu Fukuda,,,,83934
529,Drilbur,Fg,1,,,54/98,,match,,,,84964
529,Drilbur,Fg,1,,,55/98,,Midori Harada,,,,84965
539,Sawk,Fg,2,,,59/98,,Kouki Saitou,Yes,,,88938
551,Sandile,Fg,1,,,60/98,,Kagemaru Himeno,,,,88914
552,Krokorok,Fg,2,,,61/98,,Kagemaru Himeno,,,,86537
553,Krookodile,Fg,3,Reverse,,62/98,,Naoki Saito,,,8/30/2019
509,Purrloin,D,1,,,64/98,,Atsuko Nishida,,,,88458
510,Liepard,D,3,,,65/98,,Akira Komayama,,,,86726
570,Zorua,D,2,,,66/98,,Shin Nagasawa,,,,90759
629,Vullaby,D,1,,,68/98,,sui,,,,90429
597,Ferroseed,Sl,1,,,70/98,,Midori Harada,,,,85425
597,Ferroseed,Sl,1,,,71/98,,MAHOU,,,,85426
599,Klink,Sl,1,,,74/98,,Kouki Saitou,,,,86481
505,Watchog,N,2,,,79/98,,MAHOU,,,,90496
519,Pidove,N,1,,,80/98,,Naoki Saito,,,,88056
520,Tranquill,N,2,Reverse,,81/98,,Midori Harada,,,,90015
521,Unfezant,N,4,Reverse,,82/98,,kawayoo,,,,90160
531,Audino,N,2,,,83/98,,Kagemaru Himeno,,,,83661
573,Cinccino,N,2,,,85/98,,Mizue,,,,84318
627,Rufflet,N,1,,,87/98,,Naoyo Kimura,,,,88841
T,Bianca,Su,2,,,90/98,,Yusuke Ohmura,,,,83814
T,Cheren,Su,2,,,91/98,,Yusuke Ohmura,,,,84248
T,Crushing Hammer,I,2,,,92/98,,5ban Graphics,,,,84505
T,Great Ball,I,2,,,93/98,,5ban Graphics,,,,85899
T,Max Potion,I,2,,,94/98,,5ban Graphics,,,,87266
