Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
127	Pinsir	G	3			001	Shin Nagasawa			8/25/2021
187	Hoppip	G	1			002	Kagemaru Himeno			8/25/2021
188	Skiploom	G	2	Reverse		003	kirisAki			8/25/2021
189	Jumpluff	G	3	Holo		004	Tika Matsuno			8/25/2021
273	Seedot	G	1	Reverse		005	otunami			8/25/2021
357	Tropius	G	3			006	Oswaldo KATO			8/25/2021
470	Leafeon V	G	5	Full	Full Art	007	5ban Graphics			8/25/2021
548	Petlil	G	1	Reverse		009	Mika Pikazo			8/25/2021
549	Lilligant	G	3	Reverse		010	Kagemaru Himeno			8/25/2021
557	Dwebble	G	1			011	Shigenori Negishi			8/25/2021
558	Crustle	G	2			012	sowsow			8/25/2021
829	Gossifleur	G	1			015	Mizue			8/25/2021
830	Eldegoss	G	3			016	Kouki Saitou			8/25/2021
840	Applin	G	1			017	Miki Tanaka			8/25/2021
667	Litleo	F	1			022	Misa Tsutsui			8/25/2021
668	Pyroar	F	2			023	Hitoshi Ariga			8/25/2021
54	Psyduck	W	1			024	OKACHEKE			8/25/2021
55	Golduck	W	2	Reverse		025	Kyoko Umemoto			8/25/2021
72	Tentacool	W	1			026	SATOSHI NAKAI			8/25/2021
73	Tentacruel	W	2			027	Mina Nakai			8/25/2021
270	Lotad	W	1			032	Teeziro			8/25/2021
271	Lombre	W	2	Reverse		033	miki kudo			8/25/2021
318	Carvanha	W	1			035	Kyoko Umemoto			8/25/2021
319	Sharpedo	W	3			036	Kazuma Koda			8/25/2021
349	Feebas	W	1			037	tetsuya koizumi			8/25/2021
350	Milotic	W	3			038	sui			8/25/2021
370	Luvdisc	W	1			039	Mizue		8/31/2021	
535	Tympole	W	1			042	Mina Nakai			8/25/2021
615	Cryogonal	W	1			043	Kagemaru Himeno			8/25/2021
712	Bergmite	W	1			044	kirisAki			8/25/2021
713	Avalugg	W	2			045	Kouki Saitou			8/25/2021
746	Wishiwashi	W	3			046	Teeziro			8/25/2021
875	Eiscue	W	2			047	Mizue			8/25/2021
25	Pikachu	El	1			049	chibi			8/25/2021
26	Raichu	El	3	Holo		050	Mitsuhiro Arita			8/31/2021
170	Chinchou	El	1			052	sowsow			8/25/2021
171	Lanturn	El	2			053	ryoma uratsuka			8/25/2021
179	Mareep	El	1			054	Yukiko Baba			8/25/2021
180	Flaaffy	El	2			055	OKACHEKE			8/25/2021
181	Ampharos	El	3	Reverse		056	Saya Tsuruta			8/25/2021
587	Emolga	El	1			057	Nagomi Nijo			8/25/2021
894	Regieleki	El	3	Holo		060	Shin Nagasawa			8/25/2021
96	Drowzee	P	1			061	nagimiso			8/25/2021
97	Hypno	P	2			062	Miki Tanaka			8/25/2021
202	Wobbuffet	P	1			066	Anesaki Dynamic			8/25/2021
302	Sableye	P	1			067	Eri Yamaki			8/25/2021
527	Woobat	P	1			068	Yuka Morii			8/25/2021
528	Swoobat	P	2			069	nagimiso			8/25/2021
669	Flabebe	P	1			071	OKACHEKE			8/25/2021
670	Floette	P	2			072	chibi			8/25/2021
671	Florges	P	3	Holo		073	Kagemaru Himeno			8/25/2021
710	Pumpkaboo	P	1			076	Yuka Morii			8/25/2021
711	Gourgeist	P	3	Reverse		077	Megumi Higuchi			8/4/2022
742	Cutiefly	P	1	Reverse		078	Yukiko Baba			8/14/2022
107	Hitmonchan	Fg	1			081	Uta			8/25/2021
449	Hippopotas	Fg	1	Reverse		084	Yuya Oka			8/25/2021
450	Hippowdon	Fg	2	Reverse		085	Eri Yamaki			8/25/2021
524	Roggenrola	Fg	1	Reverse		086	Tomokazu Komiya			8/25/2021
525	Boldore	Fg	2			087	otumami			8/25/2021
526	Gigalith	Fg	3	Reverse		088	Masakazu Fukuda			8/25/2021
536	Palpitoad	Fg	2	Reverse		089	tetsuya koizumi			8/25/2021
537	Seismitoad	Fg	3			090	Pani Kobayashi			8/25/2021
745	Lycanroc V	Fg	5	Full	Full Art	091	PLANETA Tsuji			8/25/2021
274	Nuzleaf	D	2			096	Atsuko Nishida			8/25/2021
275	Shiftry	D	3			097	Masakazu Fukuda			8/25/2021
559	Scraggy	D	1			098	Shin Nagasawa			8/25/2021
560	Scrafty	D	2			099	Yukiko Baba			8/25/2021
569	Garbodor V	D	5	Full	Full Art	100	Uta			8/25/2021
570	Zorua	D	1			102	ryoma uratsuka			8/25/2021
571	Zoroark	D	3	Reverse		103	Souichirou Gunjima			8/25/2021
