Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
213	Shuckle	G	2			1	sui			9/21/2019
412	Burmy	G	1			2	Kouki Saitou			
413	Wormadam	G	2			3	kawayoo			
414	Mothim	G	3			4	MAHOU			
495	Snivy	G	1			5	Atsuko Nishida			
496	Servine	G	2	Reverse		6	Sumiyoshi Kizuki			9/7/2019
497	Serperior	G	3			7	You iribi			7/7/2019
585	Deerling	G	1			8	Kanako Eo			9/21/2019
146	Moltres	F	3			9	OOYAMA			7/30/2019
653	Fennekin	F	1			10	Akira Komayama			
653	Fennekin	F	1			11	kirisAki			
654	Braixen	F	2			12	kirisAki			
655	Delphox	F	3	Reverse		13	Kagemaru Himeno			12/28/2019
86	Seel	W	1			15	Hasuno			
87	Dewgong	W	2			16	Naoyo Kimura			7/14/2019
139	Omastar	W	3			18	Hasuno			9/7/2019
688	Binacle	W	1			22	Tomokazu Komiya			
689	Barbacle	W	3	Reverse		23	Shin Nagasawa			9/21/2019
109	Koffing	P	1			27	sui			8/6/2019
110	Weezing	P	2			28	Shin Nagasawa			
325	Spoink	P	1			30	TOKIYA			7/7/2019
326	Grumpig	P	3	Reverse		31	Sanosuke Sakuma			9/17/2019
574	Gothita	P	1			32	Kagemaru Himeno			
577	Solosis	P	1			33	match			7/7/2019
579	Reuniclus	P	3			35	Yukiko Baba			9/19/2019
105	Marowak	Fg	3			37	Shin Nagasawa			
246	Larvitar	Fg	1			40	Suwama Chiaki			8/6/2019
246	Larvitar	Fg	1	Reverse		41	Masakazu Fukuda			9/19/2019
247	Pupitar	Fg	2	Reverse		42	match			7/30/2019
413	Wormadam	Fg	2	Reverse		44	Hajime Kusajima			
447	Riolu	Fg	1			45	You Iribi			
447	Riolu	Fg	1			46	match			7/7/2019
701	Hawlucha	Fg	2			48	Kouki Saitou			9/7/2019
703	Carbink	Fg	1			50	kawayoo			7/7/2019
718	Zygarde	Fg	2			52	5ban Graphics			7/30/2019
248	Tyranitar	D	3	Art		56	Satoshi Shirai			6/15/2019
629	Vullaby	D	1			57	Midori Harada			8/6/2019
413	Wormadam	Sl	2			59	Kyoko Umemoto			9/7/2019
436	Bronzor	Sl	1			60	Hajime Kusajima			12/28/2019
448	Lucario	Sl	3	Art		63	Hitoshi Ariga			5/12/2019
39	Jigglypuff	Fa	1			65	Midori Harada			
40	Wigglytuff	Fa	2			66	Mizue			7/20/2019
209	Snubbull	Fa	1	Reverse		68	Aya Kusube			1/2/2020
546	Cottonee	Fa	1			70	MAHOU			
547	Whimsicott	Fa	2			71	sui			
719	Diancie EX	Fa	5	Full	Full Art	72	Eske Yoshinob			9/7/2019
52	Meowth	N	1			74	Shigenori Negishi			12/28/2019
142	Aerodactyl	N	3	Reverse		76	kawayoo			8/6/2019
293	Whismur	N	1			80	Kouki Saitou			
294	Loudred	N	2			81	TOKIYA			9/7/2019
295	Exploud	N	3			82	Masakazu Fukuda			7/20/2019
531	Audino EX	N	5	Full	Full Art	84	Ayaka Yoshida			12/28/2019
572	Minccino	N	1			86	kirisAki			
572	Minccino	N	1			87	Mizue			1/2/2020
573	Cinccino	N	2	Reverse		89	Kouki Saitou			7/7/2019
T	Alakazam Spirit Link	I	2			90	5ban Graphics			7/30/2019
T	Audino Spirit Link	I	2			92	5ban Graphics			8/6/2019
T	Bent Spoon	I	2	Reverse		93	Toyste Beach			9/7/2019
T	Chaos Tower	S	2		Full Art	94	5ban Graphics			9/21/2019
T	Energy Pouch	I	2			97	Toyste Beach			7/14/2019
T	Fairy Drop	I	2			99	Toyste Beach			1/2/2020
T	Fairy Garden	S	2			100	Ryo Ueda			9/17/2019
T	Fossil Excavation Kit	I	2	Reverse		101	Toyste Beach			
T	Helix Fossil Omanyte	I	2			102	Toyste Beach			9/21/2019
T	Old Amber Aerodactyl	I	2			106	Toyste Beach			
T	Pokemon Fan Club	Su	2			107	Yusuke Ohmura			12/28/2019
T	Power Memory	I	2			108	5ban Graphics			9/19/2019
T	Random Reciever	I	2			109	Toyste Beach			
T	Scorched Earth	S	2			110	Ryo Ueda			
T	Shauna	Su	2			111	Ken Sugimori			7/7/2019
T	Team Rocket's Handiwork	Su	2	Reverse		112	Hitoshi Ariga			7/14/2019
T	Ultra Ball	I	2			113	5ban Graphics			8/6/2019
T	Strong Energy	Fg	2			115	5ban Graphics			7/7/2019
197	Umbreon EX	D	5	Full	Full Art / Textured	119	Ryo Ueda			8/6/2019
