Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
8	Wartortle	W	2			50	Mitsuhiro Arita	Used		8/20/2019
1	Bulbasaur	G	1			55	Hajime Kusajima	Used		8/20/2019
35	Clefairy	N	1			59	Mitsuhiro Arita			
98	Krabby	W	1			66	Kouki Saitou	Used		8/20/2019
29	Nidoran F	G	1			70	Naoyo Kimura	Used		8/20/2019
46	Paras	G	1			72	Yuka Morii	Used		8/20/2019
60	Poliwag	W	1			75	Ken Sugimori	Used		8/20/2019
19	Rattata	N	1			77	Kyoko Umemoto			7/20/2019
86	Seel	W	1			78	Toshnao Aoki	Used		8/20/2019
48	Venonat	G	1			84	Kagemaru Himeno	Used		8/20/2019
13	Weedle	G	1			86	Hajime Kusajima	Used		8/20/2019
