Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
10	Caterpie	G	1			1	Sumiyoshi Kizuki			
11	Metapod	G	2			2	Kawayoo			
12	Butterfree	G	3			3	sui			
204	Pineco	G	1			4	Suwama Chiaki			
273	Seedot	G	1	Reverse		5	Naoyo Kimura			
274	Nuzleaf	G	2			6	Midori Harada			
275	Shiftry	G	3	Holo		7	Kouki Saitou			
315	Roselia	G	1	Reverse		8	kirisAki			
407	Roserade	G	2			9	Masakazu Fukuda			
556	Maractus	G	2			10	match			
6	M Charizard EX	F	5	Full	Full Art	13	5ban Graphics			
77	Ponyta	F	1	Reverse		14	Tomakazu Komiya			
78	Rapidash	F	2	Reverse		15	Akira Komayama			
324	Torkoal	F	2	Reverse		16	Akira Komayama			
662	Fletchinder	F	2			17	5ban Graphics			
667	Litleo	F	1	Reverse		18	5ban Graphics			
667	Litleo	F	1	Reverse		19	5ban Graphics			
668	Pyroar	F	3	Reverse		20	5ban Graphics			
211	Qwilfish	W	3			21	Kouki Saitou			
349	Feebas	W	1			22	Shigenori Negishi			
350	Milotic	W	3	Reverse		23	Shin Nagasawa			
363	Spheal	W	1			24	Kagemaru Himeno			
364	Sealeo	W	2			25	Mitsuhiro Arita			
365	Walrein	W	3			26	Naoki Saito			
370	Luvdisc	W	2			27	Atsuko Nishida			
418	Buizel	W	1			28	sui			
419	Floatzel	W	3			29	Kanako Eo			
712	Bergmite	W	1			30	5ban Graphics			
713	Avalugg	W	2			31	5ban Graphics			
403	Shinx	El	1			32	Sanosuke Sakuma			
404	Luxio	El	2			33	Akira Komayama			
405	Luxray	El	3			34	Hitoshi Ariga			
694	Helioptile	El	1	Reverse		36	5ban Graphics			
695	Heliolisk	El	3			37	5ban Graphics			
355	Duskull	P	1			38	match			
356	Dusclops	P	2	Reverse		39	MAHOU			
477	Dusknoir	P	3	Holo		40	Suwama Chiaki			
677	Espurr	P	1			42	5ban Graphics			
678	Meowstic	P	3			43	5ban Graphics			
690	Skrelp	P	1	Reverse		44	5ban Graphics			
74	Geodude	Fg	1			45	MAHOU			
75	Graveler	Fg	2			46	Naoyo Kimura			
76	Golem	Fg	3			47	Sumiyoshi Kizuki			
688	Binacle	Fg	1	Reverse		48	5ban Graphics			
689	Barbaracle	Fg	3			49	5ban Graphics			
215	Sneasel	D	2			50	Mizue			
215	Sneasel	D	1	Reverse		51	match			
461	Weavile	D	3	Reverse		52	Shigenori Negishi			
434	Stunky	D	1	Reverse		53	Kyoko Umemoto			
434	Stunky	D	1			54	Masakazu Fukuda			
435	Skuntank	D	3	Reverse		55	kirisAki			
551	Sandile	D	1			56	Masakazu Fukuda			
552	Krokorok	D	2			57	Naoki Saito			
559	Scraggy	D	1	Reverse		58	Naoki Saito			
560	Scrafty	D	3	Reverse		59	Hitashi Ariga			
205	Forretress	Sl	3	Reverse		60	Tamokazu Komiya			
632	Durant	Sl	3			61	Midori Harada			
669	Flabebe	Fa	1			62	5ban Graphics			
669	Flabebe	Fa	1			63	5ban Graphics			
670	Floette	Fa	3			64	5ban Graphics			
670	Floette	Fa	2			65	5ban Graphics			
671	Florges	Fa	3	Reverse		66	5ban Graphics			
682	Spritzee	Fa	1	Reverse		67	5ban Graphics			
703	Carbink	Fa	3	Holo		68	5ban Graphics			
621	Druddigon	Dr	5	Reverse		70	Ryota Murayama			
691	Dragalge	Dr	3			71	5ban Graphics			
704	Goomy	Dr	1			72	5ban Graphics			
705	Sliggoo	Dr	2			73	5ban Graphics			
706	Goodra	Dr	3	Holo		74	5ban Graphics			
16	Pidgey	N	1			75	Atsuko Nishida			
17	Pidgeotto	N	2	Reverse		76	Shin Nagasawa			
18	Pidgeot	N	3	Reverse		77	Kawayoo			
115	M Kangaskhan EX	N	5	Full	Full Art	79	5ban Graphics	Fake		7/16/2021
143	Snorlax	N	3			80	Mitsuhiro Arita			
161	Sentret	N	1	Reverse		81	Mizue			
162	Furret	N	3			82	Kagemaru Himeno			
241	Miltank	N	2	Reverse		83	Kanado Eo			
427	Buneary	N	1	Reverse		84	Kyoko Umemoto			
428	Lopunny	N	3			85	Sanosuke Sakuma			
661	Fletchling	N	1			86	5ban Graphics			
676	Forfrou	N	2			87	5ban Graphics			
T	Blacksmith	Su	2			88	Masakazu Fukuda			
T	Fiery Torch	I	2			89	Toyste Beach			
T	Lysandre	Su	2	Reverse		90	Ken Sugimori			
T	Magnetic Storm	S	2	Reverse		91	Ryo Ueda			
T	Pal Pad	I	2			92	PLANETA			
T	Pokemon Center Lady	Su	2			93	Maiko Fujwara			
T	Pokemon Fan Club	Su	2			94	Yusuke Ohmura			
T	Protection Cube	I	2			95	Toyste Beach			
T	Sacred Ash	I	2			96	PLANETA			
T	Startling Megaphone	I	2			97	Toyste Beach			
T	Trick Shovel	I	2			98	PLANETA			
T	Ultra Ball	I	2			99	5ban Graphics			
115	Kangaskhan EX	N	5	Full	Full Art / Textured	103	Ryo Ueda			
T	Pokemon Center Lady	Su	5	Full	Full Art / Textured	105	Megumi Mizutani			
