Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
102,Exeggcute,G,1,,,1/131,,Yuka Morii,,,7/20/2019
664,Scatterbug,G,1,,,6/131,,Ken Sugimori,,,
672,Skiddo,G,1,,,9/131,,Suwama Chiaki,,,
105,Alolan Marowak,F,3,,,12/131,,Suwama Chiaki,,,
653,Fennekin,F,1,,,14/131,,Ken Sugimori,,,5/11/2019
654,Braixen,F,2,Full,,16/131,,Kagemaru Himeno,,,
656,Froakie,W,1,,,22/131,,Aya Kusube,,,
692,Clauncher,W,1,,,25/131,,Midori Harada,,,
698,Amaura,W,1,,,27/131,,Atsuko Nishida,,,12/20/2019
751,Dewpider,W,1,,,32/131,,sui,,,
752,Araquanid,W,2,,,33/131,,kodama,,,
82,Magneton,El,2,,,35/131,,kirisAki,,,5/11/2019
694,Helioptile,El,XXXXXX,,,37/131,,Miki Tanaka,,,5/11/2019
796,Xurkitree,El,3,,,39/131,,Shin Nagasawa,,,12/20/2019
686,Inkay,P,1,,,50/131,,sowsow,,,
803,Poipole,P,2,,,55/131,,Megumi Mizutani,,,
104,Cubone,Fg,1,Reverse,,57/131,,sowsow,,,
453,Croagunk,Fg,1,,,63/131,,SATOSHI NAKAI,,,
674,Pancham,Fg,1,,,65/131,,Midori Harada,,,5/11/2019
688,Binacle,Fg,1,,,66/131,,Yuka Morii,,,
696,Tyrunt,Fg,2,,,68/131,,SATOSHI NAKAI,,,12/20/2019
701,Hawlucha,Fg,2,,,70/131,,Naoki Saito,,,
719,Diancie,Fg,3,Art,Prism Star,74/131,,kawayoo,,,12/20/2019
669,Flabebe,Fa,1,,,83/131,,kirisAki,,,5/11/2019
669,Flabebe,Fa,1,,,84/131,,Ken Sugimori,,,
704,Goomy,Dr,1,Reverse,,92/131,,Ken Sugimori,,,
705,Sliggoo,Dr,2,,,93/131,,Atsuko Nishida,,,5/11/2019
706,Goodra,Dr,3,Reverse,,94/131,,hatachu,,,5/11/2019
800,Ultra Necrozma GX,Dr,5,Full,Full Art,95/131,,PLANETA Otani,,,
660,Diggersby,N,2,,,98/131,,Mina Nokai,,,
676,Furfrou,N,1,Full,,99/131,,Kagemaru Himeno,,,5/11/2019
714,Noibat,N,1,Reverse,,100/131,,Anesaki Dynamic,,,
T,Beast Ring,I,3,Reverse,Alternate Art / League Cup,102a/131,,5ban Graphics,,,1/29/2020
T,Bonnie,Su,2,,,103/131,,Hideki Ishikawa,,,5/11/2019
T,Fossil Excavation Map,I,2,,,107/131,,Yoshinob Saito,,,
T,Ultra Space,S,2,,,112/131,,5ban Graphics,,,
T,Ultra Recon Squad,Su,2,,,114/131,,Megumi Mizutani,,,
