Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
142,Aerodactyl,Fg,3,Reverse,,1/62,,Kagemaru Himeno,,,,44418
89,Muk,G,3,Reverse,,13/62,,Mitsuhiro Arita,,,,44422
149,Dragonite,N,3,,,19/62,,Kagemaru Himeno,,,,44427
141,Kabutops,Fg,3,,,24/62,,Ken Sugimori,,,7/23/2019,XXXXXX
146,Moltres,F,3,,,27/62,,Mitsuhiro Arita,Dirty,,,106529
26,Raichu,El,3,,Edition 1,29/62,,Mitsuhiro Arita,,,,106531
92,Gastly,P,2,,,33/62,,Mitsuhiro Arita,,,7/23/2019,XXXXXX
42,Golbat,G,2,,,34/62,,Kagemaru Himeno,,,,44436
55,Golduck,W,2,,,35/62,,Kagemaru Himeno,,,,44437
76,Golem,Fg,2,,,36/62,,Kagemaru Himeno,Dirty,,,44438
75,Graveler,Fg,2,,,37/62,,Kagemaru Himeno,,,,44439
99,Kingler,W,2,,,38/62,,Kagemaru Himeno,,,,44440
139,Omastar,W,2,,,40/62,,Ken Sugimori,,,,44442
28,Sandslash,Fg,2,,,41/62,,Ken Sugimori,,,7/23/2019,44443
117,Seadra,W,2,,,42/62,,Ken Sugimori,,,,44444
80,Slowbro,P,2,,,43/62,,Kagemaru Himeno,Bent,,,44445
110,Weezing,G,2,,,45/62,,Mitsuhiro Arita,,,,44447
23,Ekans,G,1,,,46/62,,Kagemaru Himeno,Dirty,,,44448
74,Geodude,Fg,1,,,47/62,,Kagemaru Himeno,,,,44449
88,Grimer,G,1,,,48/62,,Mitsuhiro Arita,,,,44450
116,Horsea,W,1,,,49/62,,Mitsuhiro Arita,,,,44451
140,Kabuto,Fg,1,,,50/62,,Ken Sugimori,,,7/23/2019,XXXXXX
98,Krabby,W,1,,,51/62,,Mitsuhiro Arita,,,,44453
138,Omanyte,W,1,,,52/62,,Kagemaru Himeno,,,,44454
54,Psyduck,W,1,,,53/62,,Kagemaru Himeno,,,,44455
90,Shellder,W,1,,,54/62,,Mitsuhiro Arita,,,,44456
79,Slowpoke,P,1,,,55/62,,Miki Takano,,,,44457
72,Tentacool,W,1,,,56/62,,Kagemaru Himeno,,,,44458
41,Zubat,G,1,,,57/62,,Kagemaru Himeno,,,,44459
T,Energy Search,T,1,,,59/62,,Keiji Kinebuchi,,,,44461
T,Gambler,T,1,,,60/62,,Keiji Kinebuchi,,,,44462
T,Recycle,T,1,,,61/62,,Keiji Kinebuchi,,,,44463
