Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
69	Bellsprout	G	1	Reverse		1	Kanako Eo			
70	Weepinbell	G	2			2	Mizue			
71	Victreebel	G	3	Art		3	Sanosuke Sakuma			
71	Victreebel	G	3	Reverse		3	Sanosuke Sakuma			
285	Shroomish	G	1	Reverse		6	Kyoko Umemoto			
470	Leafeon	G	3	Reverse		7	Naoyo Kimura			
616	Shelmet	G	1			8	sui			
617	Accelgor	G	2	Reverse		9	Shin Nagasawa			
126	Magmar	F	1			10	MAHOU			
467	Magmortar	F	3	Reverse		11	PLANETA			
255	Torchic	F	1			12	Sanosuke Sakuma			
256	Combusken	F	2	Reverse		13	Shin Nagasawa			
257	Blaziken	F	3	Reverse		14	PLANETA			
60	Poliwag	W	1	Reverse		15	MAHOU			
61	Poliwhirl	W	2	Reverse		16	Kanako Eo			
62	Poliwrath	W	3	Art		17	Mitsuhiro Arita			
62	Poliwrath	W	3	Reverse		17	Mitsuhiro Arita			
186	Politoed	W	3	Reverse		18	Atsuko Nishido			
186	Politoed	W	3	Art		18	Atsuko Nishido			
471	Glaceon	W	3			19	Kagemaru Himeno			
537	Seismitoad EX	W	5	Full	Full Art	20	Eske Yoshinob	Bent		
613	Cubchoo	W	1	Reverse		21	kirisAki			
614	Beartic	W	3			22	PLANETA			
692	Clauncher	W	1			23	5ban Graphics			
693	Clawitzer	W	3	Art		24	5ban Graphics			
698	Amaura	W	2			25	5ban Graphics			
699	Aurorus	W	3			26	5ban Graphics			
25	Pikachu	El	1	Reverse		27	Sanosuke Sakuma			
26	Raichu	El	2			28	Sanosuke Sakuma			
125	Electabuzz	El	1	Reverse		29	Naoki Saito			
466	Electivire	El	3			30	PLANETA			
311	Plusle	El	1			31	Akira Komayama			
312	Minun	El	1			32	Akira Komayama			
642	Thundurus	El	3			33	Hajime Kusajima			
702	Dedenne	El	2	Reverse		34	5ban Graphics			
96	Drowzee	P	1	Reverse		35	Sumiyoshi Kizuki			
97	Hypno	P	3			36	Shigenari Negishi			
124	Jynx	P	3			37	Naoki Saito			
451	Skorupi	P	1	Reverse		38	Naoki Saito			
574	Gothita	P	1	Reverse		39	Atsuko Nishida			
575	Gothorita	P	2			40	Suwama Chiaki			
576	Gothitelle	P	3			41	kirisAki			
622	Golett	P	1	Reverse		42	Sumiyoshi Kizuki			
623	Golurk	P	3	Reverse		43	PLANETA			
66	Machop	Fg	1			44	Kouki Saitou			
67	Machoke	Fg	2			45	Mitsuhiro Arita			
68	Machamp	Fg	3	Art		46	PLANETA			
106	Hitmonlee	Fg	2			47	Hitoshi Ariga			
