Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
385	Shroomish	G	1			004	Naoyo Kimura			10/05/2022
511	Pansage	G	1			007	Nagomi Nijo			9/29/2022
541	Swadloon	G	2			010	0313			9/29/2022
829	Gossifleur	G	1			024	Kagemaru Himeno			11/16/2021
830	Eldegoss	G	2			025	Akira Komayama			9/29/2022
37	Vulpix	F	1			029	Megumi Mizutani			9/28/2022
38	Ninetales	F	2			030	kirisAki			11/16/2021
38	Ninetales	F	2			031	Tika Matsuno			9/28/2022
219	Magcargo	F	2			035	Eri Yamaki			10/05/2022
815	Cinderace VMax	F	5	Full	Full Art	045	5ban Graphics			9/29/2022
850	Sizzlipede	F	1			047	Narumi SAto			9/28/2022
158	Totodile	W	1			055	Mizue			11/16/2021
183	Marill	W	1			058	sowsow			11/16/2021
368	Gorebyss	W	3			067	Misa Tsutsui			11/16/2021
516	Simipour	W	2			069	Shin Nagasawa			11/16/2021
554	Darumaka	W	1		Galarian	071	Atsuko Nishida			9/29/2022
833	Chewtle	W	1			080	Saya Tsuruta			10/05/2022
873	Frosmoth	W	2			085	chibi			11/16/2021
311	Plusle	El	1			089	Megumi Higuchi			9/28/2022
604	Eelektross	El	3			097	OKACHEKE			10/05/2022
694	Helioptile	El	1			098	Mina Nakai			11/16/2021
737	Charjabug	El	2			100	sowsow			10/05/2022
848	Toxel	El	1			106	kodama			11/16/2021
40	Wigglytuff	P	2			111	Asako Ito			11/16/2021
561	Sigilyph	P	1			123	Yukiko Baba			11/16/2021
769	Sandygast	P	1			125	KIYOTAKA OSHIYAMA			9/28/2022
770	Palossand	P	3			126	Shibuzoh.			9/29/2022
95	Onix	Fg	1			138	KEIICHIRO ITO			10/05/2022
344	Claydol	Fg	3			145	Akira Komayama			9/28/2022
674	Pancham	Fg	1			149	Mina Nakai			9/29/2022
759	Stufful	Fg	1			150	OKACHEKE			11/16/2021
760	Bewear	Fg	2			151	Shigenori Negishi			9/29/2022
852	Clobbopus	Fg	1			152	Mizue			9/29/2022
630	Mandibuzz	D	2			173	Narumi Sato			9/28/2022
859	Impidimp	D	1	Reverse		176	sowsow			9/29/2022
52	Meowth	Sl	1	Reverse	Galarian	180	0313			10/05/2022
707	Klefki	Sl	1			186	MAHOU			9/29/2022
52	Meowth	N	1			199	Kouki Saitou			11/16/2021
427	Buneary	N	1			212	Yuu Nishida			11/16/2021
831	Wooloo	N	1	Reverse		221	Miki Tanaka			9/28/2022
831	Wooloo	N	1			222	Yukiko Baba			9/29/2022
820	Greedent Vmax	N	5	Full	Full Art	218	PLANETA Mochizuki			11/16/2021
831	Wooloo	N	1			221	Miki Tanaka			11/16/2021
T	Bug Catcher	Su	2			226	Yuu Nishida			11/16/2021
T	Cook	Su	2			228	Sanosuke Sakuma			10/05/2022
T	Cram-o-matic	I	2			229	Ryo Ueda			9/29/2022
T	Crossceiver	I	2	Reverse		231	Studio Bora Inc.			11/16/2021
T	Farewell Bell	I	2			234	AYUMI ODASHIMA			9/28/2022
T	Power Tablet	I	2			236	Toyste Beach			9/29/2022
T	Skaters' Park	S	2	Reverse		242	Oswaldo KATO			11/16/2021
