Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
257	Blaziken	F	3	Art		1	Kagemaru Himeno	Bent		
334	Altaria	N	3			12	Kagemaru Himeno			
344	Claydol	Fg	3			15	Midori Harada	Used		8/20/2019
344	Claydol	Fg	3	Confetti	25th Anniversary	15	Midori Harada			8/14/2022
380	Latias	N	3			22	Daisuke Ito			
484	Palkia	W	3	Reverse	Stamped	26	Daisuke Ito			8/30/2019
40	Wigglytuff	N	3			32	Kagemaru Himeno	Dirty		
256	Combusken	F	2			35	Naoyo Kimura			
264	Linoone	N	2	Reverse		43	Kouki Saitou	Used		8/20/2019
432	Purugly	N	2			50	Ken Sugimori			
227	Skarmory	Sl	2			53	Mitsuhiro Arita	Bent		8/20/2019
201	Unown F	P	2			56	Daisuke Ito			
201	Unown G	P	2		World Championships 2009	57	Daisuke Ito			
335	Zangoose	N	2			59	Masakazu Fukuda			
343	Baltoy	Fg	1			60	Sumiyoshi Kizuki			
418	Buizel	W	1			61	Masakazu Fukuda			
331	Cacnea	G	1			62	Saya Tsuruta			
96	Drowzee	P	1			65	Ken Sugimori			
349	Feebas	W	1			67	Ken Sugimori			
431	Glameow	N	1			68	Kagemaru Himeno			
228	Houndour	F	1			69	Ken Sugimori			
314	Illumise	G	1			71	Ken Sugimori	Bent		
370	Luvdisc	W	1	Reverse		77	Motofumi Fujiwara			
56	Mankey	Fg	1			79	Ken Sugimori			
258	Mudkip	W	1			80	Emi Yoshida	Yes		
137	Porygon	N	1			81	Kent Kanetsuna			
79	Slowpoke	W	1			82	Saya Tsuruta			8/17/2019
218	Slugma	F	1			83	Masakazu Fukuda			
209	Snubbull	N	1			84	Atsuko Nishida			
114	Tangela	G	1			87	Sumiyoshi Kizuki			
175	Togepi	N	1			88	Ken Sugimori	Cut		
252	Treecko	G	1			90	Kouki Saitou	Used		8/20/2019
13	Weedle	G	1			93	Mitsuhiro Arita			
T	Felicity's Drawing	Su	2			98	Ken Sugimori			
T	Rare Candy	T	2		World Championships 2008	102	Ryo Ueda			7/20/2019
488	Cresselia X	P	5	Full		103	Shizurow			
