Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
70,Weepinbell,G,2,,,2/145,,Mina Nakai,,,,130687
708,Phantump,G,1,,,6/145,,Sanosuke Sakuma,,,,130691
709,Trevenant,G,3,Full,,7/145,,Hiroyuki Yamamoto,,,,130692
767,Wimpod,G,1,,,8/145,,match,,,,130693
494,Victini,F,3,Art,,10/145,,kodama,,,9/19/2019,XXXXXX
607,Litwick,F,1,,,11/145,,Mitsuhiro Arita,,,,130757
609,Chandelure,F,3,Reverse,,13/145,,Kouki Saitou,,,,130759
757,Salandit,F,1,,,15/145,,TOKIYA,,,,130761
28,Alolan Sandslash,W,3,,,20/145,,TOKIYA,,,8/6/2019,XXXXXX
37,Alolan Vulpix,W,1,,,21/145,,You Iribi,,,8/1/2019,XXXXXX
225,Delibird,W,1,,,26/145,,sui,,,,130926
318,Carvanha,W,1,,,27/145,,Hideki Ishikawa,,,,130927
320,Wailmer,W,1,,,29/145,,Miki Tanaka,,,,130929
362,Glalie,W,2,,,32/145,,so-taro,,,,130932
582,Vanilite,W,1,Full,,33/145,,OOYAMA,,,4/12/2019,130933
583,Vanillish,W,2,,,34/145,,Naoki Saito,,,,130934
746,Wishiwashi,W,1,,,37/145,,Sanosuke Sakuma,,,,130937
74,Alolan Geodude,El,1,,,40/145,,Hitoshi Ariga,,,4/12/2019,130942
75,Alolan Graveler,El,2,,,41/145,,match,,,,130943
694,Helioptile,El,1,,,43/145,,Masakazu Fukuda,,,8/1/2019,XXXXXX
79,Slowpoke,P,1,,,48/145,,Mina Nakai,,,8/1/2019,XXXXXX
80,Slowbro,P,2,Reverse,,49/145,,Shibuzoh.,,,,130955
568,Trubbish,P,1,,,50/145,,Yuka Morii,,,,130956
574,Gothita,P,1,,,52/145,,Yuka Morii,,,,130958
576,Gothitelle,P,3,,,54/145,,Mitsuhiro Arita,,,,130960
741,Oricorio,P,3,,,56/145,,TOKIYA,,,,130962
781,Dhelmise,P,3,Full,,59/145,,Hasuno,,,4/12/2019,130967
66,Machop,Fg,1,,,62/145,,Kyoko Umemoto,,,8/1/2019,XXXXXX
67,Machoke,Fg,2,,,64/145,,Kouki Saitou,,,,130974
68,Machamp,Fg,3,Reverse,,65/145,,Hitoshi Ariga,,,,130975
185,Sudowoodo,Fg,2,,,66/145,,Hajime Kusajima,,,4/12/2019,130976
207,Gligar,Fg,1,,,67/145,,Mina Nakai,,,,130977
472,Gliscor,Fg,2,,,68/145,,Yoshinobu Saito,,,,130978
299,Nosepass,Fg,1,,,69/145,,Tomokazu Komiya,,,,130979
339,Barboach,Fg,1,,,70/145,,sui,,,,130980
340,Whiscash,Fg,3,,,71/145,,Masakazu Fukuda,,,,130981
674,Pancham,Fg,1,,,72/145,,TOKIYA,,,4/12/2019,130982
744,Rockruff,Fg,1,,,73/145,,Naoki Saito,,,,130983
749,Mudbray,Fg,1,,,75/145,,Kouki Saitou,,,,130987
198,Murkrow,D,1,,,78/145,,Sekio,,,8/1/2019,XXXXXX
375,Metang,Sl,2,,,84/145,,Kagemaru Himeno,,,8/10/2019,XXXXXX
35,Clefairy,Fa,1,,,88/145,,Kagemaru Himeno,,,,131002
546,Cottonee,Fa,1,,,90/145,,Megumi Mizutani,,,9/19/2019,XXXXXX
547,Whimsicott,Fa,2,,,91/145,,Kouki Saitou,,,8/10/2019,XXXXXX
704,Goomy,Dr,1,,,94/145,,Asako Ito,,,,131010
780,Drampa,Dr,3,Reverse,,97/145,,match,,,,131013
782,Jangmo-o,Dr,1,,,98/145,,match,,,,131014
783,Hakamo-o,Dr,2,,,99/145,,Shin Nagasawa,,,,131015
276,Tailow,N,1,,,103/145,,Ayaka Yoshida,,,,131021
277,Swellow,N,3,Reverse,,104/145,,Kagemaru Himeno,,,,131022
351,Castform,N,1,Card,,105/145,,sui,,,8/1/2019,131023
504,Patrat,N,1,,,107/145,,Ayaka Yoshida,,,,131025
505,Watchog,N,2,,,108/145,,Kagemaru Himeno,,,,131026
661,Fletchling,N,1,,,109/145,,You Iribi,,,,131027
662,Fletchinder,N,2,Full,,110/145,,kawayoo,,,,131028
663,Talonflame,N,3,,,111/145,,Shin Nagasawa,,,4/12/2019,131029
760,Bewear,N,2,Reverse,,113/145,,Shin Nagasawa,,,8/10/2019,131031
775,Komala,N,2,,,114/145,,Kouki Saitou,,,,131032
780,Drampa GX,N,5,Full,Full Art,115/145,,5ban Graphics,,,8/10/2019,XXXXXX
T,Aether Paradise Conservation Area,S,2,Reverse,,116/145,,5ban Graphics,,,9/19/2019,131036
T,Altar of the Moone,S,2,,,117/145,,5ban Graphics,,,,131037
