Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
711	Gourgeist	P				2	5ban Graphics			
24	Arbok	P	3			3	Naoki Saito		$2.56	
659	Bunnelby	N				4	5ban Graphics			
710	Pumpkaboo	P				11	5ban Graphics			
T	Potion	I				15	5ban Graphics			
23	Ekans	P	1			16	Shigenori Negishi		$2.19	
676	Forfrou	N				20	5ban Graphics			
T	Poke Ball	I				21	5ban Graphics			
714	Noibat	N				23	5ban Graphics			
T	Dark Energy	D				28				
715	Noivern	Dr		Art		30	5ban Graphics			
T	Switch	I				4	5ban Graphics			
676	Forfrou	N				16	5ban Graphics			
T	Fairy Energy	Fa				18				
661	Fletchling	N				19	5ban Graphics			
T	Pokemon Catcher	I				23	5ban Graphics			
209	Snubbull	Fa				27	Naoki Saito			
210	Granbull	Fa				29	Masokazu Fukuda			
700	Sylveon	Fa		Art		30	5ban Graphics			
509	Purrloin	D				1	Kagemaru Himeno			
505	Watchog	N				2	match			
T	PlusPower	I				11	5ban Graphics			
570	Zorua	D				13	Kouki Saitou			
571	Zoroark	D				17	Shin Nagasawa			
572	Minccino	N				19	sui			8/17/2019
T	Energy Switch	I				4	Kent Kanetsuna			
533	Gurdurr	Fg				14	Naoki Saito			
T	Potion	I				15	Ayaka Yoshida			
530	Excadrill	Fg				17	5ban Graphics			
507	Herdier	N				19	Midori Harada			
66	Machop	Fg				5	Atsuko Nishida	Dirty		
418	Buizel	W				1	Ken Sugimori			8/17/2019
419	Floatzel	W				2	Masahiko Ishii			
118	Goldeen	W				3	Atsuko Nishida			
490	Manaphy	W		Art		4	Daisuke Ito			
393	Piplup	W				5	Ken Sugimori			8/17/2019
374	Beldum	P				1	Kouki Saitou			7/20/2019
325	Spoink	P				7	Kagemaru Himeno			
322	Numel	F				5	Yuka Morii	Scratched		7/20/2019
300	Skitty	N				6	Atsuko Nishida	Used		8/20/2019
255	Torchic	F				7	Hironobu Yoshida	Bent		
81	Magnemite	El				4	Tomokazu Komiya	Used		8/20/2019
263	Zigzagoon	N				7	Atsuko Nishida	Used		8/20/2019
309	Electrike	El				28	Akira Komayama			7/20/2019
52	Meowth	N				12	Kagemaru Himeno			8/17/2019
179	Mareep	El				20	Masakazu Fukuda			8/17/2019
158	Totodile	W				14	kawayoo			8/17/2019
159	Croconaw	W				17	kawayoo			8/17/2019
129	Magikarp	W				12	Mitsuhiro Arita			8/17/2019
183	Marill	W				15	Kouki Saitou			8/17/2019
129	Magikarp	W				19	Mitsuhiro Arita			8/17/2019
183	Marill	W				24	Kouki Saitou			8/17/2019
