/Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
10	Caterpie	G	1	Reverse		1	tetsuya koizumi			10/20/2019
11	Metapod	G	2			2	Shibuzoh.			10/20/2019
12	Butterfree	G	3	Reverse		3	Masakazu Fukuda			10/20/2019
46	Paras	G	1	Reverse		4	OOYAMA			1/1/2020
123	Scyther	G	2			5	Hasuno			10/20/2019
127	Pinsir GX	G	5	Full	Full Art	6	5ban Graphics			10/20/2019
4	Charmander	F	1	Reverse		7	Megumi Mitani			1/1/2020
5	Charmeleon	F	2			8	Shin Nagasawa			10/20/2019
6	Charizard GX	F	5	Full	Full Art	9	oky CG Works			1/1/2020
126	Magmar	F	2	Reverse		10	Satoshi Shirai			1/1/2020
54	Psyduck	W	1			11	nagisimo			10/20/2019
79	Slowpoke	W	1			12	Misa Tsutsui			10/20/2019
120	Staryu	W	1	Reverse		13	Ken Sugimori			10/20/2019
121	Starmie GX	W	5	Full	Full Art	14	PLANETA Otoni			1/1/2020
129	Magikarp	W	1	Reverse		15	Shigenori Negishi			1/1/2020
130	Gyarados GX	W	5	Full	Full Art	16	5ban Graphics			10/20/2019
131	Lapras	W	3			17	kodama			10/20/2019
25	Pikachu	El	1			19	Kagemaru Himeno			10/20/2019
26	Raichu GX	El	5	Full	Full Art	20	5ban Graphics			1/26/2020
100	Voltorb	El	1	Reverse		21	SATOSHI NAKAI			10/20/2019
135	Jolteon	El	3	Reverse		23	Kouki Saitou			1/26/2020
23	Ekans	P	1			25	MAHOU			10/20/2019
23	Ekans	P	1	Reverse		26	Masakazu Fukuda			1/1/2020
24	Arbok	P	3			27	kirisAki			11/16/2019
109	Koffing	P	1			28	Saya Tsuruta			10/20/2019
110	Weezing	P	3	Reverse		29	Hideki Ishikawa			1/1/2020
124	Jynx	P	2	Reverse		30	Kouki Saitou			10/20/2019
151	Mew	P	3			32	Atsuko Nishida			1/1/2020
74	Geodude	Fg	1	Reverse		33	Ken Sugimori			1/1/2020
75	Graveler	Fg	1	Reverse		34	Ken Sugimori			10/20/2019
104	Cubone	Fg	1			37	Hasuno			10/20/2019
35	Clefairy	Fa	1	Reverse		38	Saya Tsuruta			11/16/2019
35	Clefairy	Fa	1			39	kirisAki			10/20/2019
35	Clefable	Fa	3	Reverse		40	sui			1/1/2020
39	Jigglypuff	Fa	1			41	Mizue			10/20/2019
122	Mr. Mime	Fa	3			43	Hideki Ishikawa			10/20/2019
83	Farfetch'd	N	2			45	Eri Yamaki			10/20/2019
113	Chansey	N	2	Reverse		46	sowsow			1/26/2020
115	Kangaskhan	N	3			47	You Iribi			10/20/2019
133	Eevee	N	3	Art		48	Kagemaru Himeno			1/1/2020
133	Eevee	N	1			49	Hitoshi Ariga			10/20/2019
143	Snorlax	N	3			50	Akira Komayama			1/1/2020
T	Bill's Analysis	Su	3			51	Naoki Saito			1/1/2020
T	Blaine's Last Stand	Su	3			52	Ken Sugimori			10/20/2019
T	Brock's Grit	Su	2	Reverse		53	Megumi Mizutani			11/16/2019
T	Brock's Pewter City Gym	S	2	Reverse		54	5ban Graphics			11/16/2019
T	Brock's Training	Su	3	Art		55	TOKIYA			10/20/2019
T	Erika's Hospitality	Su	3	Reverse		56	Sanosuke Sakuma			1/26/2020
T	Giovanni's Exile	Su	2			57	Megumi Mizutani			10/20/2019
T	Koga's Trap	Su	2			59	Megumi Mizutani			10/20/2019
T	Lt. Surge's Strategy	Su	2	Reverse		60	Megumi Mizutani			1/1/2020
T	Misty's Cerulean City Gym	S	2	Reverse		61	5ban Graphics			1/1/2020
T	Misty's Determination	Su	2	Reverse		62	Megumi Mizutani			1/1/2020
T	Misty's Water Command	Su	3	Art		63	TOKIYA			10/20/2019
T	Pokemon Center Lady	Su	2	Reverse		64	TOKIYA			11/16/2019
T	Sabrina's Suggestion	Su	2			65	Hitoshi Ariga			10/20/2019
144 & 145 & 146	Moltres & Zapdos & Articuno GX	N	5	Full	Textured	66	5ban Graphics			1/1/2020
T	Jessie & James	Su	5	Full	Full Art / Textured	68	Megumi Mizutani			1/1/2020
144 & 145 & 146	Moltres & Zapdos & Articuno GX	N	5	Full	Rainbow / Textured	69	5ban Graphics			11/16/2019
