/Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
687	Malamar	P	3	Art	Alternate Art / Textured / Shiny	SV18	Hideki Ishikawa			1/26/2020
185	Sudowoodo	Fg	3	Art	Alternate Art / Textured / Shiny	SV20	Kyoko Umemoto			10/20/2019
744	Rockruff	Fg	3	Art	Alternate Art / Textured / Shiny	SV23	Masakazu Fukuda			10/20/2019
81	Magnemite	Sl	3	Art	Alternate Art / Textured / Shiny	SV27	SATOSHI NAKAI			1/1/2020
443	Gible	Dr	3	Art	Alternate Art / Textured / Shiny	SV38	Saya Tsuruta			1/1/2020
714	Noibat	N	3	Art	Alternate Art / Textured / Shiny	SV43	Mizue			1/1/2020
144	Articuno GX	W	5	Full	Full Art / Alternate Art / Textured / Shiny	SV54	5ban Graphics			10/20/2019
658	Greninja GX	W	5	Full	Full Art / Alternate Art / Textured / Shiny	SV56	5ban Graphics			1/1/2020
196	Espeon GX	P	5	Full	Full Art / Alternate Art / Textured / Shiny	SV60	5ban Graphics			1/1/2020
212	Scizor GX	Sl	5	Full	Full Art / Alternate Art / Textured / Shiny	SV72	5ban Graphics			1/1/2020
700	Sylveon GX	Fa	5	Full	Full Art / Alternate Art / Textured / Shiny	SV76	5ban Graphics			9/16/2020
