Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
127,Pinsir,G,3,,,24/92,,Mitsuhiro Arita,,,,88136
327,Spinda,N,3,,,26/92,,Motofumi Fujiwara,,,,89460
347,Anorith,Fg,2,,,29/92,,Atsuko Nishida,,,,83559
70,Weepinbell,G,2,,,47/92,,Katsura Tabata,,,,90553
69,Bellsprout,G,1,,,49/92,,Midori Harada,,,,83808
92,Gastly,P,1,,,52/92,,Hajime Kusajima,,,7/20/2019,XXXXXX
74,Geodude,Fg,1,,,53/92,,Miki Tanaka,,,,85689
345,Lileep,G,1,,,56/92,,Atsuko Nishida,,,,86787
240,Magby,F,1,,,58/92,,Yuka Morii,Used,,8/20/2019,XXXXXX
353,Shuppet,P,1,,,63/92,,Mitsuhiro Arita,,,7/20/2019,XXXXXX
T,Fieldworker,Su,2,,,73/92,,Ken Sugimori,,,,85431
T,Strange Cave,S,2,,,77/92,,Ryo Ueda,,,,89574
T,Claw Fossil,T,1,,,78/92,,Ryo Ueda,,,,84329
T,Root Fossil,T,1,,,80/92,,Ryo Ueda,,,,88811
T,React Energy,E,2,,,82/92,,Takumi Akabane,,,,88649
